rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Antiviral And Anti Inflammatory Effects Of Nrf2 On SARS CoV 2 Pathway WP5113,5.545240890163118e-07,24.463917525773194,352.4065382588108,GUCY1A1;GUCY1B1;IL1B;TNF;NFKB1;NFE2L2,0.00014604336573273617,0,0,10,pos,WikiPathway_2023_Human
2,Signal Transduction Through IL1R WP4496,8.203902081694472e-07,22.649484536082475,317.3982287063927,IL1RN;TGFB1;IRAK2;IL1B;TNF;NFKB1,0.00014604336573273617,0,0,10,pos,WikiPathway_2023_Human
3,Measles Virus Infection WP4630,1.1380002524628792e-06,8.218045112781954,112.47412131165886,IFIH1;HSPA8;IL1B;HSPA6;EIF2AK2;MSN;BAK1;IL2RG;NFKB1;HSPA1A,0.00014604336573273617,0,0,10,pos,WikiPathway_2023_Human
