rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Human cytomegalovirus infection,4.5301313063561276e-07,6.423267076985168,93.82687646025761,ADCY3;ADCY7;RHOA;NFKB1;CRKL;PLCB3;RHEB;AKT2;GNB1;E2F1;CALM3;IKBKG;RAF1,9.920987560919919e-05,0,0,25,neg,KEGG_2021_Human
2,Chemokine signaling pathway,3.8456522435519215e-06,6.308544535063872,78.65851232242039,PLCB3;AKT2;GNB1;ADCY3;IKBKG;RAF1;ADCY7;NFKB1;PF4V1;RHOA;CRKL,0.0004210989206689354,0,0,25,neg,KEGG_2021_Human
3,Rap1 signaling pathway,9.044361616828255e-06,5.732657998989657,66.5754728087448,EFNA1;PLCB3;FGF9;AKT2;ADCY3;CALM3;RAF1;ADCY7;EFNA4;RHOA;CRKL,0.000601225960835908,0,0,25,neg,KEGG_2021_Human
