rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Endocytic Vesicle (GO:0030139),1.2923593910435e-09,8.788562042705689,179.8737091315835,SCARB2;MSR1;LRP1;LPAR1;SCIMP;CTSS;MPEG1;EHD4;DLG4;RAB34;STAB1;HLA-DRA;CD36;RIN2;HLA-DPA1,1.0261593300494223e-07,0,0,8,pos,GO_Cellular_Component_2023
2,Lysosome (GO:0005764),1.3961351429243841e-09,5.230225988700565,106.64199630682997,SCARB2;LRP1;ANXA2;FUCA2;NRG1;ARRB1;IFI30;SLC2A6;CTSS;VAMP8;HLA-DMA;VCAN;HLA-DMB;P2RX4;NPC2;NAAA;AP1S2;CTSH;HLA-DRA;TLR7;CD68;SLC15A3;HLA-DPA1,1.0261593300494223e-07,0,0,8,pos,GO_Cellular_Component_2023
3,Endocytic Vesicle Membrane (GO:0030666),6.04514698049299e-07,7.728156728156728,110.65823854778606,SCARB2;VAMP8;MSR1;LRP1;DLG4;HFE;HVCN1;STAB1;HLA-DRA;CD36;HLA-DPA1,2.1303624779945145e-05,0,0,8,pos,GO_Cellular_Component_2023
