rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),1.8076454923276698e-07,30.587628865979383,474.90568175648224,HLA-DMA;HLA-DMB;HLA-DRA;IFI30;CTSS;HLA-DPA1,0.0002283252936524664,0,0,8,pos,GO_Biological_Process_2023
2,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),2.9091224315646995e-07,27.804123711340207,418.4588512102148,HLA-DMA;HLA-DMB;HLA-DRA;IFI30;CTSS;HLA-DPA1,0.0002283252936524664,0,0,8,pos,GO_Biological_Process_2023
3,Immunoglobulin Mediated Immune Response (GO:0016064),4.509337880890261e-07,25.484536082474225,372.378647731317,HLA-DMA;HLA-DMB;CARD9;FCER1A;HLA-DRA;HLA-DPA1,0.0002283252936524664,0,0,8,pos,GO_Biological_Process_2023
