rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Sarcomere Organization (GO:0045214),9.291744507873701e-06,21.128205128205128,244.79950290336265,KRT19;TNNT1;TNNT3;TTN;MYH7,0.01202351739318857,0,0,99,neg,GO_Biological_Process_2023
2,Skeletal Muscle Contraction (GO:0003009),3.343535939158139e-05,26.918367346938776,277.4179092680899,TNNT1;TNNC2;TNNT3;MYH7,0.02163267752635316,0,0,99,neg,GO_Biological_Process_2023
3,Myofibril Assembly (GO:0030239),9.34439910541812e-05,12.357098186366478,114.65098986831539,KRT19;TNNT1;TNNT3;TTN;MYH7,0.03155363127373789,0,0,99,neg,GO_Biological_Process_2023
