rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,TNF-alpha Signaling via NF-kB,0.00019001668226546373,4.837614100490667,41.45060631295679,ABCA1;TGIF1;SOCS3;PFKFB3;KYNU;G0S2;FOS;SAT1;KLF2,0.0026602335517164925,0,0,78,pos,MSigDB_Hallmark_2020
2,Complement,0.00019001668226546373,4.837614100490667,41.45060631295679,CTSL;KYNU;PLA2G4A;CLU;CD55;LGMN;CTSB;F5;DGKH,0.0026602335517164925,0,0,78,pos,MSigDB_Hallmark_2020
3,Inflammatory Response,0.00019001668226546373,4.837614100490667,41.45060631295679,ABCA1;SLC31A1;C5AR1;OSM;PROK2;ADM;CHST2;CD55;EREG,0.0026602335517164925,0,0,78,pos,MSigDB_Hallmark_2020
