rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Mineral absorption,0.0003324843108549847,9.205128205128204,73.72311591006364,MT2A;MT1M;MT1F;MT1X;MT1E,0.06283953475159211,0,0,65,neg,KEGG_2021_Human
2,TNF signaling pathway,0.005381572076205341,4.71914689671699,24.65647950040891,MAP2K3;NFKBIA;CSF1;CCL20;MAPK13,0.3390390408009365,0,0,65,neg,KEGG_2021_Human
3,Toxoplasmosis,0.005381572076205341,4.71914689671699,24.65647950040891,MAP2K3;NFKBIA;SOCS1;PIK3R6;MAPK13,0.3390390408009365,0,0,65,neg,KEGG_2021_Human
