rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Glucagon signaling pathway,0.0007256543016025789,6.032152699806063,43.60303471011706,PPP3R1;PHKG1;CALM3;PYGM;FBP1;PFKM,0.100764209428228,0,0,43,neg,KEGG_2021_Human
2,B cell receptor signaling pathway,0.0013171792082121308,6.654520917678813,44.13453148372894,PPP3R1;LILRB1;LILRB2;LILRB4;LILRA4,0.100764209428228,0,0,43,neg,KEGG_2021_Human
3,Glycerophospholipid metabolism,0.0030464945959450306,5.433416046319272,31.47992845042133,DGKD;GPAT4;PLA2G4C;LCAT;AGPAT4,0.11691271189529993,0,0,43,neg,KEGG_2021_Human
