rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Interferon Signaling R-HSA-913531,1.4671284327189212e-08,7.93721817551162,143.16657037615133,STAT1;MX2;MX1;EIF2AK2;UBE2L6;IFIT1;IFIT3;ICAM1;IFIT2;HERC5;TPR;IRF2;GBP1;IRF9,9.301594263437961e-06,0,0,13,neg,Reactome_2022
2,Interferon Alpha/Beta Signaling R-HSA-909733,6.01519758075776e-07,12.848958333333334,184.0459923030108,STAT1;MX2;IRF2;MX1;IFIT1;IFIT3;IRF9;IFIT2,0.0001746558558664439,0,0,13,neg,Reactome_2022
3,ISG15 Antiviral Mechanism R-HSA-1169408,8.264472675068322e-07,12.27176616915423,171.8799489064233,HERC5;STAT1;MX2;TPR;MX1;EIF2AK2;UBE2L6;IFIT1,0.0001746558558664439,0,0,13,neg,Reactome_2022
