rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Hemostasis R-HSA-109582,5.6164436963548384e-06,3.62654115873315,43.844200415350585,CAV1;ITGA1;PLEK;GNAI3;ITPR2;TFPI;LRP8;GP9;IGLL5;GNG5;MAFG;RAC2;TIMP3;CEACAM21;ESAM;LCP2;GAS6;LY6G6F;SH2B2,0.0035215101976144836,0,0,59,pos,Reactome_2022
2,Smooth Muscle Contraction R-HSA-445355,6.723327393029232e-05,13.334682860998651,128.110862510313,ACTA2;CALD1;ITGA1;MYH11;MYLK,0.021077631377146643,0,0,59,pos,Reactome_2022
3,"Platelet Activation, Signaling And Aggregation R-HSA-76002",0.00024930655181640927,4.218291630716134,34.998437105945946,GP9;GNG5;PLEK;GNAI3;RAC2;TIMP3;ITPR2;LCP2;GAS6;LY6G6F,0.052105069329629536,0,0,59,pos,Reactome_2022
