rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,CTCF 33576154 ChIP-Seq Human Liver ProstateCancer,5.115936428968461e-06,2.0581519281700147,25.074773870013694,ZNF692;PHF23;ASGR1;LETM2;BBC3;SPR;UIMC1;HOMER3;SMCO4;VPS18;MYLIP;DUSP3;TPRA1;HPCAL1;ARAP3;GAB2;CPED1;GPR162;THAP3;TBC1D2;PSRC1;PPP1R12B;HDAC5;MTMR3;BRI3;GDPD3;UBR2;ABHD5;FBXL20;DHX34;CREG1;AMDHD2;FCHO2;ZNF746;STAT6;MARK3;CBX8;LAMB2;INTS3;STARD10;KLHL21;OGA;ABCA7;KLHDC8B;NETO2;KLHL24;OSGIN2;LRWD1;TBX6;IGF2R;MAPK13;MKLN1;TTLL4;GNPDA1;ATG16L2;TDP2;KATNBL1;CNOT3;UNC119;ETFBKMT;LTBR;CPVL;MXD1,0.0026578051604885084,0,0,7,pos,ChEA_2022
2,BRD4 27068464 Chip-Seq AML-cells Mouse,8.43108434647203e-06,2.4767392232180963,28.937193645340027,DOCK5;LRP1;BRI3;USP32;MAST3;PHF23;ABHD5;CASC3;SMG7;ASGR1;LETM2;BBC3;SEC14L1;CREG1;AMDHD2;STAB1;FCHO2;S1PR3;AKIRIN2;MYLIP;NDE1;HPCAL1;KLHL21;ABCA7;KLHL24;MAPK13;CYP27A1;HAL;TTLL4;PSRC1;ANG;CEP63;PPP1R12B;SQSTM1;TLR2,0.0026578051604885084,0,0,7,pos,ChEA_2022
3,GATA3 27048872 Chip-Seq THYMUS Human,1.1028237180450242e-05,2.442746044515956,27.884072041055433,MTMR3;NOTCH1;SMARCD3;ABHD3;USP32;FLT3;DTX2;TMEM140;SMG7;LETM2;PRRG4;FLCN;C5;SNN;SNX27;CREG1;UBN1;SH3BP2;WWC3;STAT6;MGAT1;MAP4K4;MAP3K2;AKIRIN2;MYLIP;CD300A;HSPA6;OLIG1;IGF2R;CLK3;PIAS1;UNC119;CEP63;CPVL;RNF122,0.0026578051604885084,0,0,7,pos,ChEA_2022
