rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,SNAI2 mouse,0.004247232134539841,24.98989898989899,136.4820277236255,LPAR2;BBC3,0.2888117851487092,0,0,7,pos,TRRUST_Transcription_Factors_2019
2,TRP73 mouse,0.015214448401771344,11.754604872251932,49.19901329869125,PSRC1;BBC3,0.35393259180517705,0,0,7,pos,TRRUST_Transcription_Factors_2019
3,CTCF human,0.036030988496536624,7.132756132756133,23.70482996930019,ANG;BBC3,0.35393259180517705,0,0,7,pos,TRRUST_Transcription_Factors_2019
