rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Negative Regulation Of Viral Genome Replication (GO:0045071),1.4401635277172379e-05,12.998245229216934,144.90663187900708,RSAD2;IFIT5;EIF2AK2;ZC3HAV1;IFIT1;OASL,0.02114160058688905,0,0,56,neg,GO_Biological_Process_2023
2,Negative Regulation Of Viral Process (GO:0048525),3.2596478724807664e-05,11.103092783505154,114.70945231270328,RSAD2;IFIT5;EIF2AK2;ZC3HAV1;IFIT1;OASL,0.023925815384008824,0,0,56,neg,GO_Biological_Process_2023
3,Regulation Of Viral Genome Replication (GO:0045069),5.574512874237732e-05,10.00794321446679,98.02500684839791,RSAD2;IFIT5;EIF2AK2;ZC3HAV1;IFIT1;OASL,0.027277949664603302,0,0,56,neg,GO_Biological_Process_2023
