rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Epithelial Mesenchymal Transition,3.4600949670423796e-05,5.43213296398892,55.79685681599258,FBN2;VCAN;LGALS1;TNFRSF12A;LRP1;ANPEP;ID2;ITGA5;PRSS2;PFN2,0.0015570427351690708,0,0,56,neg,MSigDB_Hallmark_2020
2,Interferon Alpha Response,0.00043082901286403295,6.698425286054152,51.91145138175452,RSAD2;IFI44;EIF2AK2;ADAR;IFIT3;OASL,0.008406500493911341,0,0,56,neg,MSigDB_Hallmark_2020
3,Hypoxia,0.0009340556104345935,4.255208333333333,29.684225172013964,EFNA1;DPYSL4;GAA;NOCT;SLC2A1;HMOX1;IDS;CHST2,0.008406500493911341,0,0,56,neg,MSigDB_Hallmark_2020
