rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,NCOA1 mouse,0.0051570205394645754,22.21212121212121,117.00004466783103,PSAT1;ITGA5,0.2915797928551316,0,0,56,neg,TRRUST_Transcription_Factors_2019
2,POU2AF1 mouse,0.008366027088182239,16.656565656565657,79.67795051677446,LGALS1;ID2,0.2915797928551316,0,0,56,neg,TRRUST_Transcription_Factors_2019
3,TP63 human,0.009590008493683598,15.374514374514375,71.44588341233826,SMARCD3;ID2,0.2915797928551316,0,0,56,neg,TRRUST_Transcription_Factors_2019
