rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Spontaneous Synaptic Transmission (GO:0098814),0.0014535707837741265,49.98989898989899,326.6206097208578,RPH3A;RPH3AL,0.4839509953390234,0,0,194,pos,GO_Biological_Process_2023
2,Hepoxilin Biosynthetic Process (GO:0051122),0.0020216133697869413,39.98989898989899,248.09171029141777,GSTM2;GSTM1,0.4839509953390234,0,0,194,pos,GO_Biological_Process_2023
3,Hepoxilin Metabolic Process (GO:0051121),0.0020216133697869413,39.98989898989899,248.09171029141777,GSTM2;GSTM1,0.4839509953390234,0,0,194,pos,GO_Biological_Process_2023
