rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Neutrophil Degranulation R-HSA-6798695,0.0008982868585319928,2.9556913674560734,20.73423730513296,KCMF1;HSPA6;GGH;DNAJC13;RETN;AZU1;LILRB2;DYNLL1;BIN2;LCN2;CTSG;BPI;ELANE,0.1725110075551523,0,0,95,neg,Reactome_2022
2,Immunoregulatory Interactions Between A Lymphoid And A non-Lymphoid Cell R-HSA-198933,0.0014960628556399183,5.203013481363997,33.84517804978016,NCR1;LAIR2;LILRB1;LILRB2;LILRB4;LILRA4,0.1725110075551523,0,0,95,neg,Reactome_2022
3,Immune System R-HSA-168256,0.0017476004660152665,1.850863717590996,11.752080634177904,ITPR2;RETN;CLU;PSMA7;LILRA4;SOCS3;AP1S1;LAIR2;NDN;CTSG;WASF1;ELANE;SOCS5;FBXO9;VAV3;KCMF1;HSPA6;GGH;LILRB1;DNAJC13;AZU1;LILRB2;DYNLL1;LILRB4;NCR1;EDAR;CENPE;SPSB1;BIN2;HNRNPA2B1;LCN2;BPI;SUGT1,0.1725110075551523,0,0,95,neg,Reactome_2022
