rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,HDL Clearance R-HSA-8964011,0.0009754681839454337,66.65656565656566,462.10284137848555,CUBN;SCARB1,0.34202318391573133,0,0,171,pos,Reactome_2022
2,Defective CSF2RA Causes SMDP4 R-HSA-5688890,0.0020216133697869413,39.98989898989899,248.09171029141777,SFTPC;SFTPD,0.34202318391573133,0,0,171,pos,Reactome_2022
3,Diseases Associated With Surfactant Metabolism R-HSA-5687613,0.0034202318391573132,28.561327561327563,162.17255858986445,SFTPC;SFTPD,0.34202318391573133,0,0,171,pos,Reactome_2022
