rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,BTF3 human,0.0034202318391573132,28.561327561327563,162.17255858986445,SSPN;MADCAM1,0.11747760404762407,0,0,239,neg,TRRUST_Transcription_Factors_2019
2,ARNTL mouse,0.0061478754316609515,19.98989898989899,101.78154350719133,PER2;BHLHE41,0.11747760404762407,0,0,239,neg,TRRUST_Transcription_Factors_2019
3,CLOCK human,0.008366027088182239,16.656565656565657,79.67795051677446,PER2;BHLHE41,0.11747760404762407,0,0,239,neg,TRRUST_Transcription_Factors_2019
