rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Estrogen Response Late,0.0009340556104345935,4.255208333333333,29.684225172013964,OLFM1;SLC22A5;CISH;MDK;SIAH2;SORD;CKB;SLC29A1,0.04016439124868752,0,0,90,pos,MSigDB_Hallmark_2020
2,Interferon Gamma Response,0.004067400402162354,3.684635829149776,20.28300352206346,NFKBIA;SOCS1;IFI27;P2RY14;TRAFD1;SRI;CMKLR1,0.05829940576432708,0,0,90,pos,MSigDB_Hallmark_2020
3,heme Metabolism,0.004067400402162354,3.684635829149776,20.28300352206346,BNIP3L;FECH;MXI1;ASNS;HBD;TENT5C;SNCA,0.05829940576432708,0,0,90,pos,MSigDB_Hallmark_2020
