rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Translation (GO:0006412),1.988757680915655e-28,19.267941728483333,1229.0032053517045,RPL31;RPL34;MRPS33;MRPL36;RPL9;MRPL13;RPL7;EEF1B2;MRPL3;RPS17;MRPL40;RPS15A;RPL17;RPL39;CHCHD1;MRPS28;RWDD1;RPL41;RPL21;RPS7;MRPS22;MRPL27;RPL35A;MRPL47;RPS3A;MRPS18C;MRPL22;MRPL51;RPL27;RPL22L1;RPL26;RPS24;RPL26L1,1.740162970801198e-25,0,0,PC4,pos,GO_Biological_Process_2023
2,Peptide Biosynthetic Process (GO:0043043),2.2824668744117857e-20,18.928436911487758,856.0659116582576,RPL41;RPL21;RPS7;RPL31;RPL34;MRPS33;MRPL27;RPL35A;MRPL36;RPS3A;RPL9;MRPL13;RPL7;MRPS18C;MRPL3;RPS17;MRPL51;RPS15A;RPL27;RPL26;RPL39;RPL17;RPS24,9.985792575551563e-18,0,0,PC4,pos,GO_Biological_Process_2023
3,Macromolecule Biosynthetic Process (GO:0009059),4.1143226608152444e-20,16.844768439108062,751.9037633894601,RPL41;RPL21;RPS7;RPL31;RPL34;MRPS33;MRPL27;RPL35A;MRPL36;RPS3A;RPL9;MRPL13;RPL7;MRPS18C;EEF1B2;MRPL3;RPS17;MRPL51;RPS15A;RPL27;RPL26;RPL39;RPL17;RPS24,1.200010776071113e-17,0,0,PC4,pos,GO_Biological_Process_2023
4,Cytoplasmic Translation (GO:0002181),6.317639915302137e-20,27.982230849634163,1237.048427344562,RWDD1;RPL41;RPL21;RPS7;RPL31;RPL34;RPL35A;RPS3A;RPL9;RPL7;RPS17;RPS15A;RPL27;RPL22L1;RPL26;RPL39;RPL17;RPL26L1;RPS24,1.3819837314723424e-17,0,0,PC4,pos,GO_Biological_Process_2023
5,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),2.4839357401346596e-19,34.61171254768533,1482.7405845757205,COX7B;NDUFA6;NDUFA4;NDUFA2;NDUFB2;NDUFA1;NDUFB1;COX7A2;UQCR11;COX6A1;COX6C;COX7C;UQCRH;UQCRQ;NDUFS4;NDUFAB1;COA6,4.3468875452356546e-17,0,0,PC4,pos,GO_Biological_Process_2023
6,Aerobic Electron Transport Chain (GO:0019646),5.0727946967768e-18,33.02341137123746,1315.0794155388114,COX7B;NDUFA6;NDUFA4;NDUFA2;NDUFB2;NDUFA1;NDUFB1;COX7A2;UQCR11;COX6A1;COX6C;COX7C;UQCRH;UQCRQ;NDUFS4;NDUFAB1,7.397825599466167e-16,0,0,PC4,pos,GO_Biological_Process_2023
7,Oxidative Phosphorylation (GO:0006119),4.7134449444109504e-17,33.36486486486486,1254.3029658159433,ATP5PF;NDUFA6;NDUFA2;NDUFB2;NDUFA1;NDUFB1;ATP5F1C;UQCRH;ATP5F1E;NDUFS4;NDUFAB1;ATP5PO;ATP5MG;ATP5MF;ATP5ME,5.891806180513688e-15,0,0,PC4,pos,GO_Biological_Process_2023
8,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),1.0780424597100843e-16,38.13813068651778,1402.1946983582059,ATP5PF;NDUFA6;NDUFA2;NDUFB2;NDUFA1;NDUFB1;ATP5F1C;ATP5F1E;NDUFS4;NDUFAB1;ATP5PO;ATP5MG;ATP5MF;ATP5ME,1.1791089403079046e-14,0,0,PC4,pos,GO_Biological_Process_2023
9,Cellular Respiration (GO:0045333),2.342467314196513e-16,24.865784499054822,894.923480744981,COX7B;NDUFA6;NDUFA4;NDUFA2;NDUFB2;NDUFA1;NDUFB1;COX7A2;UQCR11;COX6A1;COX6C;COX7C;UQCRH;UQCRQ;NDUFS4;NDUFAB1,2.2773987776910545e-14,0,0,PC4,pos,GO_Biological_Process_2023
10,Gene Expression (GO:0010467),2.916639132483339e-16,10.294675803900896,368.25012257696153,RPL31;RPL34;MRPS33;MRPL36;RPL9;MRPL13;RPL7;MRPL3;RPS17;RPS15A;RPL17;RPL39;RPL41;RPL21;RPS7;MRPL27;RPL35A;RPS3A;THOC7;MRPS18C;MRPL51;SARNP;RPL27;RPL26;RPS24,2.5520592409229217e-14,0,0,PC4,pos,GO_Biological_Process_2023
11,Proton Motive Force-Driven ATP Synthesis (GO:0015986),7.318142317513455e-16,32.32304815334268,1126.4907119637553,ATP5PF;NDUFA6;NDUFA2;NDUFB2;NDUFA1;NDUFB1;ATP5F1C;ATP5F1E;NDUFS4;NDUFAB1;ATP5PO;ATP5MG;ATP5MF;ATP5ME,5.82124957074934e-14,0,0,PC4,pos,GO_Biological_Process_2023
12,Energy Derivation By Oxidation Of Organic Compounds (GO:0015980),1.1479500587516723e-11,31.526315789473685,794.1623410031033,COX7B;NDUFA4;UQCRQ;NDUFS4;COX7A2;UQCR11;COX6A1;COX6C;COX7C;UQCRH,8.370469178397611e-10,0,0,PC4,pos,GO_Biological_Process_2023
13,Mitochondrial Translation (GO:0032543),1.724716032145347e-11,16.124252909720038,399.613383963883,MRPS28;MRPS22;MRPS33;MRPL27;MRPL36;MRPL47;MRPL13;MRPS18C;MRPL22;MRPL3;MRPL40;MRPL51;CHCHD1,1.1608665600978297e-09,0,0,PC4,pos,GO_Biological_Process_2023
14,Mitochondrial Gene Expression (GO:0140053),3.2888080600337554e-11,15.224598930481283,367.4900111869897,MRPS28;MRPS22;MRPS33;MRPL27;MRPL36;MRPL47;MRPL13;MRPS18C;MRPL22;MRPL3;MRPL40;MRPL51;CHCHD1,2.055505037521097e-09,0,0,PC4,pos,GO_Biological_Process_2023
15,Ribosome Biogenesis (GO:0042254),4.706727862749206e-11,11.386100386100386,270.75512600735834,RPS7;GTF3A;RPL35A;MRPL36;RPS3A;RPL7;MRPL22;RPS17;RPS15A;RPL27;PIN4;RPL26;RSL24D1;RPS24;RPL26L1,2.7455912532703704e-09,0,0,PC4,pos,GO_Biological_Process_2023
