rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,dim,direction,library
1,Salmonella infection,0.00021255070742376653,4.307641488658886,36.426837841647966,ACTR1A;RIPK3;MLKL;DYNLT1;FADD;NLRC4;PFN1;ACTB;MYL12A;MAP2K6,0.03677127238431161,0,0,15,neg,KEGG_2021_Human
2,NOD-like receptor signaling pathway,0.00048609009624393166,4.727119460500964,36.06374539515151,PSTPIP1;RNASEL;AIM2;RIPK3;CARD6;FADD;NLRC4;GBP2,0.04204679332510009,0,0,15,neg,KEGG_2021_Human
3,B cell receptor signaling pathway,0.0013171792082121308,6.654520917678813,44.13453148372894,LILRA6;IFITM1;BTK;LILRA2;LILRB3,0.07595733434023287,0,0,15,neg,KEGG_2021_Human
4,Osteoclast differentiation,0.0017612136723423994,5.029990627928772,31.898953733425575,LILRA6;NCF1;BTK;LILRA2;LILRB3;MAP2K6,0.07617249132880877,0,0,15,neg,KEGG_2021_Human
5,Sulfur metabolism,0.004247232134539841,24.98989898989899,136.4820277236255,SQOR;PAPSS1,0.1469542318550785,0,0,15,neg,KEGG_2021_Human
6,Leukocyte transendothelial migration,0.005795880075899015,4.632086567866384,23.858061881050492,NCF1;ITGB2;PTK2B;ACTB;MYL12A,0.1671145421884216,0,0,15,neg,KEGG_2021_Human
7,Platelet activation,0.008209060136204205,4.240680887739711,20.365941376435014,P2RX1;TBXAS1;BTK;ACTB;MYL12A,0.19261342682784252,0,0,15,neg,KEGG_2021_Human
8,Lysosome,0.00934449223956054,4.101938711694809,19.168229053648297,CD63;PPT1;AP3S2;ATP6V0D1;CTSC,0.19261342682784252,0,0,15,neg,KEGG_2021_Human
9,Glycosphingolipid biosynthesis,0.010269125320643951,7.163886874546773,32.800668633723014,FUT7;B3GALT4;GBGT1,0.19261342682784252,0,0,15,neg,KEGG_2021_Human
10,Amyotrophic lateral sclerosis,0.011248560090868895,2.5810043507115994,11.582296127185701,FIG4;ACTR1A;PINK1;NDUFC2;SDHC;WIPI1;PFN1;ACTB;MAP2K6,0.19261342682784252,0,0,15,neg,KEGG_2021_Human
