rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,MAPK signaling pathway,0.0007825781456104102,3.616753150481838,25.870334277287412,MAP3K2;ATF2;PPM1A;PPM1B;TAOK1;RASA2;RAPGEF2;TAB2;IL1RAP;TGFBR1,0.10643062780301578,0,0,PC3,pos,KEGG_2021_Human
2,Thyroid hormone signaling pathway,0.00742302930314596,4.351016799292661,21.333766525890177,NCOA2;KAT2B;MED13;HIF1A;MED13L,0.32824680404654394,0,0,PC3,pos,KEGG_2021_Human
3,Protein processing in endoplasmic reticulum,0.007558852019265715,3.6804123711340204,17.978946742432235,SEC24B;UBE2D3;UBQLN1;YOD1;SEC62;UBXN4,0.32824680404654394,0,0,PC3,pos,KEGG_2021_Human
4,Vasopressin-regulated water reabsorption,0.009654459200215517,7.338987247740498,34.05536215760635,DYNC1LI2;DCTN4;RAB5A,0.32824680404654394,0,0,PC3,pos,KEGG_2021_Human
5,Salmonella infection,0.012847247396994145,2.9312293923692887,12.764406847355808,DYNC1LI2;SNX18;DCTN4;ABI1;TAB3;TAB2;RAB5A,0.32824680404654394,0,0,PC3,pos,KEGG_2021_Human
6,Pathogenic Escherichia coli infection,0.014481476649112233,3.1752037566794407,13.446622502942846,GNA13;RAB1A;SEC24B;ABI1;TAB3;TAB2,0.32824680404654394,0,0,PC3,pos,KEGG_2021_Human
7,Cellular senescence,0.020424522640324048,3.336559687553065,12.982617171774654,PPP1CB;LIN54;FOXO3;HIPK1;TGFBR1,0.39681929701201,0,0,PC3,pos,KEGG_2021_Human
8,Inositol phosphate metabolism,0.03677522547466387,4.292240754169688,14.176974537004341,PIKFYVE;SYNJ1;IPMK,0.6251788330692858,0,0,PC3,pos,KEGG_2021_Human
9,Ubiquitin mediated proteolysis,0.05218539566670592,2.95078031212485,8.713514393945305,UBA6;UBE2D3;UBR5;SIAH1,0.7754795551192658,0,0,PC3,pos,KEGG_2021_Human
10,Phagosome,0.06650011739257675,2.709873138444567,7.345250879126401,DYNC1LI2;PIKFYVE;RAB5A;FCAR,0.7754795551192658,0,0,PC3,pos,KEGG_2021_Human
11,IL-17 signaling pathway,0.06824670433285998,3.2982094048083894,8.854459164365215,TAB3;TAB2;MAPK6,0.7754795551192658,0,0,PC3,pos,KEGG_2021_Human
12,Phosphatidylinositol signaling system,0.07349061432359225,3.1924613889188898,8.33423196719981,PIKFYVE;SYNJ1;IPMK,0.7754795551192658,0,0,PC3,pos,KEGG_2021_Human
13,Glycosphingolipid biosynthesis,0.07445847463610643,4.641061780596664,12.055221541075596,B3GNT5;B3GNT2,0.7754795551192658,0,0,PC3,pos,KEGG_2021_Human
14,Hepatitis B,0.0798287777328656,2.5370705244122966,6.413387552426678,ATF2;DDX3X;TAB2;TGFBR1,0.7754795551192658,0,0,PC3,pos,KEGG_2021_Human
15,Th17 cell differentiation,0.09220036137329378,2.8840296759078483,6.874924645539169,IL1RAP;HIF1A;TGFBR1,0.8177830224876939,0,0,PC3,pos,KEGG_2021_Human
