rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Glycolysis / Gluconeogenesis,2.1635618333975684e-08,16.038815670698682,283.06785299111056,GPI;LDHA;TPI1;PKM;PGAM1;PGK1;ENO1;ALDOA;GAPDH,4.327123666795137e-06,0,0,PC5,pos,KEGG_2021_Human
2,Vibrio cholerae infection,1.0219798089852524e-05,13.88659793814433,159.57344828850043,ERO1A;ARF1;ATP6AP1;SEC61G;ACTG1;ATP6V1F,0.0009285923539642631,0,0,PC5,pos,KEGG_2021_Human
3,HIF-1 signaling pathway,1.3928885309463945e-05,8.126650165016502,90.86851097382902,LDHA;PFKFB3;PGK1;HMOX1;ENO1;TIMP1;ALDOA;GAPDH,0.0009285923539642631,0,0,PC5,pos,KEGG_2021_Human
4,Prion disease,2.067734168174041e-05,4.778429933969186,51.54240098277812,COX8A;C1QB;PSMA6;C1QA;PSMB7;NDUFB9;PSMA1;CSNK2B;UQCRC1;RAC2;UQCRFS1;NDUFV2,0.0010338670840870205,0,0,PC5,pos,KEGG_2021_Human
5,Lysosome,4.4597495289573806e-05,6.833333333333333,68.45519120960265,CD63;ATP6AP1;CTSL;NPC2;CTSH;CD68;CTSD;GLA,0.0017838998115829521,0,0,PC5,pos,KEGG_2021_Human
6,Oxidative phosphorylation,5.8574779330946706e-05,6.558333333333334,63.91231158552741,COX8A;NDUFB9;PPA2;ATP6AP1;UQCRC1;UQCRFS1;NDUFV2;ATP6V1F,0.0019524926443648903,0,0,PC5,pos,KEGG_2021_Human
7,Adherens junction,7.739574933451497e-05,9.390166534496432,88.89275047707838,PTPN1;CSNK2B;RAC2;CTNNA1;RHOA;ACTG1,0.001999526971196283,0,0,PC5,pos,KEGG_2021_Human
8,Fluid shear stress and atherosclerosis,7.998107884785131e-05,6.256043256997455,59.01776330762988,SDC4;SUMO1;CTSL;GSTO1;RAC2;HMOX1;RHOA;ACTG1,0.001999526971196283,0,0,PC5,pos,KEGG_2021_Human
9,Phagosome,0.00014909624942351603,5.6875,50.112098919165376,MARCO;ATP6AP1;CTSL;SEC61G;FCAR;ACTG1;ATP6V1F;VAMP3,0.003313249987189245,0,0,PC5,pos,KEGG_2021_Human
10,Diabetic cardiomyopathy,0.00021234656616390604,4.762076968748313,40.27427007945648,COX8A;GYS1;NDUFB9;UQCRC1;RAC2;UQCRFS1;NDUFV2;CTSD;GAPDH,0.004246931323278121,0,0,PC5,pos,KEGG_2021_Human
11,Starch and sucrose metabolism,0.0004448946011773135,12.607142857142858,97.29780799156961,GPI;GYS1;UGP2;GBE1,0.008088992748678428,0,0,PC5,pos,KEGG_2021_Human
12,Bacterial invasion of epithelial cells,0.001048903729001341,7.0256410256410255,48.195965780270626,MAD2L2;RHOG;CTNNA1;RHOA;ACTG1,0.01628826378688571,0,0,PC5,pos,KEGG_2021_Human
13,Huntington disease,0.0010599539749906691,3.467994310099573,23.754130344198977,COX8A;PSMA6;PSMB7;NDUFB9;HIP1;PSMA1;UQCRC1;UQCRFS1;WIPI1;NDUFV2,0.01628826378688571,0,0,PC5,pos,KEGG_2021_Human
14,Proteasome,0.0011401784650819998,9.60058309037901,65.05902796595161,PSMB7;PSMA6;PSMA1;POMP,0.01628826378688571,0,0,PC5,pos,KEGG_2021_Human
15,Alzheimer disease,0.0012685232315854328,3.160740149566965,21.0818266179811,COX8A;PSMA6;PSMB7;NDUFB9;PSMA1;CSNK2B;UQCRC1;UQCRFS1;WIPI1;NDUFV2;GAPDH,0.016913643087805772,0,0,PC5,pos,KEGG_2021_Human
