rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,dim,direction,library
1,Ribosome,6.197081321788055e-11,11.145530145530145,261.9685261405865,RPL4;RPL5;RPL30;RPS9;RPL32;RPL11;MRPS21;RPL10A;RPS16;RPS18;RPS29;RPL37;FAU;RPS21;RPS13,9.977300928078769e-09,0,0,15,pos,KEGG_2021_Human
2,Coronavirus disease,9.463124458248715e-08,6.761073295846898,109.34871890093521,RPL4;RPL5;RPL30;RPS9;RPL32;RPL11;RPL10A;RPS16;RPS29;RPS18;RPL37;FAU;RPS21;RPS13,7.617815188890215e-06,0,0,15,pos,KEGG_2021_Human
3,RNA transport,1.856585452737217e-05,5.868421052631579,63.93167307016174,EEF1A1;SEH1L;FUS;NCBP2;PABPC4;EIF4A3;EIF3E;NUP98;SMN1;EIF3B,0.0009963675263023064,0,0,15,pos,KEGG_2021_Human
4,Spliceosome,0.004035414681198756,4.221649484536083,23.272460037157398,FUS;NCBP2;EIF4A3;SNU13;HNRNPA1;CHERP,0.16242544091824992,0,0,15,pos,KEGG_2021_Human
5,mRNA surveillance pathway,0.016905547622331568,4.278332609639601,17.456082420924414,FUS;NCBP2;PABPC4;EIF4A3,0.5443586334390765,0,0,15,pos,KEGG_2021_Human
6,Ribosome biogenesis in eukaryotes,0.023239642698352277,3.864992150706436,14.53969743553625,UTP4;DKC1;SNU13;PWP2,0.6044346253388335,0,0,15,pos,KEGG_2021_Human
7,GnRH secretion,0.026279766319079717,4.927768993925272,17.931934435559224,CACNA1I;PLCB3;KCNN4,0.6044346253388335,0,0,15,pos,KEGG_2021_Human
8,Huntington disease,0.034642907830479755,2.3655189145164366,7.954441166181254,PLCB3;TUBB6;POLR2J2;SIN3A;PPIF;TAF4B;MAP2K7,0.697188520088405,0,0,15,pos,KEGG_2021_Human
9,Amino sugar and nucleotide sugar metabolism,0.08322842762171248,4.337725076855512,10.784305954054673,PMM2;CYB5RL,0.8757126601480125,0,0,15,pos,KEGG_2021_Human
10,C-type lectin receptor signaling pathway,0.08639514793856477,2.9701462532040006,7.273364724037877,PLK3;IL23A;NFKB2,0.8757126601480125,0,0,15,pos,KEGG_2021_Human
