rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Mitophagy,0.030714664778555365,4.623584537290121,16.10401456697529,PINK1;ATG9B;BCL2L1,0.8778334084779751,0,0,PC5,neg,KEGG_2021_Human
2,Shigellosis,0.037588880913970765,2.520618556701031,8.270267935190839,RPS6KA5;HKDC1;PLCE1;FOXO4;WASF2;BCL2L1,0.8778334084779751,0,0,PC5,neg,KEGG_2021_Human
3,"Neomycin, kanamycin and gentamicin biosynthesis",0.04901451987041608,24.86934673366834,74.99696447567176,HKDC1,0.8778334084779751,0,0,PC5,neg,KEGG_2021_Human
4,Thyroid cancer,0.05272745114535424,5.704184704184704,16.785242657704043,LEF1;NCOA4,0.8778334084779751,0,0,PC5,neg,KEGG_2021_Human
5,Type II diabetes mellitus,0.07734722537002725,4.5353535353535355,11.608013208044897,HKDC1;PRKCZ,0.8778334084779751,0,0,PC5,neg,KEGG_2021_Human
6,Viral protein interaction with cytokine and cytokine receptor,0.0789086435328542,3.0932544874143075,7.855209980826792,CXCR5;CCR7;CCR6,0.8778334084779751,0,0,PC5,neg,KEGG_2021_Human
7,Malaria,0.08924145426065531,4.156565656565657,10.043965211617904,GYPC;HBB,0.8778334084779751,0,0,PC5,neg,KEGG_2021_Human
8,Long-term depression,0.12102940384644344,3.4381748519679554,7.260468635528234,GNAZ;GNA12,0.8778334084779751,0,0,PC5,neg,KEGG_2021_Human
9,Non-homologous end-joining,0.12251321261076642,8.28643216080402,17.397665920944878,POLL,0.8778334084779751,0,0,PC5,neg,KEGG_2021_Human
10,Transcriptional misregulation in cancer,0.12688262078605309,2.128962223187147,4.395227321074526,LYL1;TCF3;BCL2L1;BAIAP3,0.8778334084779751,0,0,PC5,neg,KEGG_2021_Human
11,Chemokine signaling pathway,0.12688262078605309,2.128962223187147,4.395227321074526,CXCR5;CCR7;CCR6;PRKCZ,0.8778334084779751,0,0,PC5,neg,KEGG_2021_Human
12,Pathogenic Escherichia coli infection,0.13566210186214261,2.073279052553664,4.141557418192638,LPAR5;TUBB1;GNA12;WASF2,0.8778334084779751,0,0,PC5,neg,KEGG_2021_Human
13,Adherens junction,0.15858644337758454,2.888449714536671,5.318951469597782,LEF1;WASF2,0.8778334084779751,0,0,PC5,neg,KEGG_2021_Human
14,p53 signaling pathway,0.16563305326129824,2.806800398349694,5.046572271238703,SESN3;BCL2L1,0.8778334084779751,0,0,PC5,neg,KEGG_2021_Human
15,Inositol phosphate metabolism,0.16563305326129824,2.806800398349694,5.046572271238703,PLCE1;CDIPT,0.8778334084779751,0,0,PC5,neg,KEGG_2021_Human
