pc,eig_real,perm_p50,perm_p99,above_p99
1,3542.8142,22.444464683532715,22.552088298797607,True
2,2301.602,22.330756187438965,22.43136697769165,True
3,1076.8032,22.20628547668457,22.350913696289062,True
4,653.2968,22.138371467590332,22.210741577148436,True
5,342.07846,22.06291103363037,22.129219493865968,True
6,244.06544,22.004915237426758,22.070511932373048,True
7,188.63177,21.930278778076172,21.98263618469238,True
8,159.64748,21.893046379089355,21.930494289398194,True
9,131.68002,21.82628631591797,21.90079444885254,True
10,120.353294,21.773147583007812,21.81612714767456,True
11,105.09582,21.701995849609375,21.752311267852782,True
12,87.38164,21.66243076324463,21.72228286743164,True
13,80.2272,21.61392879486084,21.669442100524904,True
14,69.13236,21.564806938171387,21.593769969940187,True
15,65.181755,21.522624969482422,21.563090801239014,True
16,58.31854,21.465754508972168,21.52513732910156,True
17,54.042286,21.42587184906006,21.461402072906495,True
18,47.93634,21.37498664855957,21.41923791885376,True
19,45.80912,21.32939052581787,21.382836627960206,True
20,44.86845,21.287734031677246,21.342452507019043,True
21,40.848522,21.23489761352539,21.304132537841795,True
22,38.93068,21.201802253723145,21.24344882965088,True
23,37.09419,21.1585054397583,21.203248176574707,True
24,33.626564,21.112772941589355,21.14392723083496,True
25,31.594646,21.075749397277832,21.10811929702759,True
26,30.929337,21.0226993560791,21.068290462493895,True
27,28.038307,20.98703956604004,21.03169137954712,True
28,27.636656,20.94351577758789,20.99554708480835,True
29,25.737125,20.909287452697754,20.96710620880127,True
30,24.917158,20.878259658813477,20.91799129486084,True
31,23.594769,20.84263038635254,20.869727725982667,True
32,22.845654,20.792906761169434,20.84495121002197,True
33,21.266857,20.764290809631348,20.79268882751465,True
34,20.27249,20.715737342834473,20.770392894744873,False
35,19.539946,20.67891788482666,20.720767097473143,False
36,19.476427,20.643505096435547,20.69446744918823,False
37,17.653614,20.616374969482422,20.659107513427735,False
38,17.223265,20.575082778930664,20.635579471588134,False
39,16.133396,20.54931354522705,20.604064865112306,False
40,15.831142,20.514103889465332,20.558448848724364,False
41,15.608367,20.476357460021973,20.513210258483888,False
42,15.095413,20.44398307800293,20.48727155685425,False
43,14.425249,20.416095733642578,20.43417333602905,False
44,13.955685,20.375678062438965,20.408619270324706,False
45,13.887458,20.34183406829834,20.37542657852173,False
46,13.150787,20.304758071899414,20.32949125289917,False
47,12.995532,20.2728853225708,20.306399459838868,False
48,12.644887,20.23808479309082,20.285666751861573,False
49,12.0315,20.20821475982666,20.251463680267335,False
50,11.658473,20.167837142944336,20.205116024017332,False
51,11.125808,20.14335536956787,20.189857177734375,False
52,11.066665,20.120580673217773,20.149726963043214,False
53,10.826103,20.090139389038086,20.109174156188963,False
54,10.252125,20.053787231445312,20.08630163192749,False
55,9.9147625,20.014434814453125,20.037044525146484,False
56,9.859938,19.988083839416504,20.014462299346924,False
57,9.620327,19.954005241394043,19.973176307678223,False
58,9.239443,19.924254417419434,19.948282928466796,False
59,9.015124,19.88849925994873,19.920193824768067,False
60,8.855045,19.85295295715332,19.88607301712036,False
61,8.764401,19.82190227508545,19.853316497802734,False
62,8.575632,19.7873592376709,19.83163791656494,False
63,8.329026,19.75639820098877,19.786882591247558,False
64,8.172324,19.722185134887695,19.766825103759764,False
65,7.955144,19.699971199035645,19.740675354003905,False
66,7.7609506,19.67237663269043,19.714383945465087,False
67,7.3965263,19.640631675720215,19.68682668685913,False
68,7.3397894,19.606903076171875,19.64606657028198,False
69,7.307294,19.580660820007324,19.61711114883423,False
70,7.1332107,19.554112434387207,19.593278408050537,False
71,6.975594,19.513879776000977,19.58208242416382,False
72,6.7900915,19.497355461120605,19.536432132720947,False
73,6.6582785,19.471970558166504,19.50457971572876,False
74,6.4573517,19.443493843078613,19.47628273010254,False
75,6.2723184,19.41096782684326,19.44508228302002,False
76,6.2257423,19.381765365600586,19.42379123687744,False
77,6.190487,19.350531578063965,19.393365383148193,False
78,6.0938077,19.323445320129395,19.357432231903076,False
79,6.0341315,19.30029582977295,19.32853769302368,False
80,5.9749346,19.272645950317383,19.29361015319824,False
81,5.7825055,19.249723434448242,19.269151344299317,False
82,5.5582223,19.2220458984375,19.258392639160157,False
83,5.5460243,19.18570327758789,19.231332359313964,False
84,5.420456,19.167527198791504,19.192917041778564,False
85,5.3988996,19.137547492980957,19.170402393341064,False
86,5.3252487,19.10995101928711,19.136755962371826,False
87,5.2878294,19.088675498962402,19.10963722229004,False
88,5.21505,19.0587739944458,19.098032703399657,False
89,5.1629715,19.02803611755371,19.05776180267334,False
90,5.075212,18.99974536895752,19.032959899902345,False
91,4.9838815,18.9744930267334,18.9994429397583,False
92,4.930006,18.949188232421875,18.979827556610108,False
93,4.8490233,18.924283981323242,18.9446022605896,False
94,4.789621,18.8858585357666,18.924953804016113,False
95,4.7437024,18.86730194091797,18.905993728637696,False
96,4.6848965,18.841327667236328,18.876010036468507,False
97,4.642235,18.814105987548828,18.854699783325195,False
98,4.573982,18.795690536499023,18.83493824005127,False
99,4.513165,18.775190353393555,18.802391281127928,False
100,4.387359,18.742419242858887,18.78510103225708,False
101,4.3412156,18.713926315307617,18.750205688476562,False
102,4.2628236,18.68470859527588,18.710508117675783,False
103,4.2522492,18.666913986206055,18.688776817321777,False
104,4.2238,18.636472702026367,18.663613452911378,False
105,4.149516,18.613381385803223,18.63536931991577,False
106,4.1288757,18.589458465576172,18.615944061279297,False
107,4.0773377,18.561606407165527,18.58713094711304,False
108,4.027743,18.530526161193848,18.57124080657959,False
109,3.9932015,18.498056411743164,18.549133834838866,False
110,3.9722927,18.473024368286133,18.51856267929077,False
111,3.933642,18.445101737976074,18.48958564758301,False
112,3.8855717,18.41987705230713,18.465869541168214,False
113,3.8214471,18.395511627197266,18.434916973114014,False
114,3.8016658,18.372743606567383,18.405092735290527,False
115,3.7548838,18.34119701385498,18.389447612762453,False
116,3.7295094,18.319220542907715,18.35408317565918,False
117,3.6397464,18.293476104736328,18.327828578948974,False
