rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,dim,direction,library
1,Ribosome,3.595555872236756e-75,77.74305892127674,13326.262957802672,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL7;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;UBA52;RPL12;RPL11;RPS15A;RPS3;RPL13;RPL17;RPL41;RPL35A;MRPL22;RPS28;RPS27;RPS29;RPL27A;RPL22L1;FAU;RPS21;RPS24,6.148400541524852e-73,0,0,60,neg,KEGG_2021_Human
2,Coronavirus disease,1.7714946813954915e-62,43.361111111111114,6165.449271206216,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL7;RPS15;RPS14;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;UBA52;RPL12;RPL11;RPS15A;RPS3;RPL13;RPL17;RPL41;RPL35A;RPS28;RPS27;RPS29;RPL27A;RPL22L1;FAU;RPS21;RPS24,1.5146279525931453e-60,0,0,60,neg,KEGG_2021_Human
3,Oxidative phosphorylation,5.089355340003974e-12,13.524049473202016,351.6776236396241,COX7B;NDUFA4;NDUFB1;COX7A2;UQCR11;COX6A1;COX5B;COX7C;UQCRH;ATP5F1E;COX6B1;COX7A2L;UQCRQ;ATP5MG;ATP5MF,2.900932543802265e-10,0,0,60,neg,KEGG_2021_Human
4,Thermogenesis,1.9396600973902435e-10,8.46219341720676,189.24289313142077,COX7B;NDUFA4;RPS6;NDUFB1;UQCR11;COX7A2;COX5B;COX6A1;COX7C;ATP5F1E;UQCRH;COX6B1;COX7A2L;UQCRQ;GNAS;ATP5MG;ATP5MF,8.292046916343291e-09,0,0,60,neg,KEGG_2021_Human
5,Non-alcoholic fatty liver disease,5.330416153200924e-10,10.494394875314573,224.08074399601244,COX7B;NDUFA4;NDUFB1;COX7A2;UQCR11;COX6A1;ADIPOR1;COX5B;COX7C;UQCRH;COX6B1;COX7A2L;UQCRQ;DDIT3,1.8230023243947162e-08,0,0,60,neg,KEGG_2021_Human
6,Parkinson disease,4.545103962038087e-09,7.302481806307147,140.27494477171962,COX7B;NDUFA4;NDUFB1;UQCR11;COX7A2;COX5B;COX6A1;COX7C;ATP5F1E;UQCRH;COX6B1;COX7A2L;UQCRQ;DDIT3;GNAS;UBA52,1.295354629180855e-07,0,0,60,neg,KEGG_2021_Human
7,Cardiac muscle contraction,1.636323853025905e-08,13.481203007518797,241.69408893340886,COX7B;COX7A2L;UQCRQ;COX7A2;UQCR11;COX6A1;COX5B;COX7C;UQCRH;COX6B1,3.9973054123918537e-07,0,0,60,neg,KEGG_2021_Human
8,Huntington disease,8.208853552211275e-08,5.8500749625187405,95.44670775184679,COX7B;NDUFA4;NDUFB1;UQCR11;COX7A2;COX5B;COX6A1;COX7C;ATP5F1E;UQCRH;BBC3;COX6B1;COX7A2L;UQCRQ;POLR2J;POLR2K,1.7546424467851599e-06,0,0,60,neg,KEGG_2021_Human
9,Prion disease,1.1131355591768524e-07,6.141420490257699,98.3297601583136,COX7B;BAD;NDUFA4;NDUFB1;UQCR11;COX7A2;COX5B;COX6A1;COX7C;ATP5F1E;UQCRH;COX6B1;COX7A2L;UQCRQ;DDIT3,2.1149575624360196e-06,0,0,60,neg,KEGG_2021_Human
10,Diabetic cardiomyopathy,1.3851491555510109e-07,7.1750633267661135,113.31066520869612,COX7B;NDUFA4;NDUFB1;UQCR11;COX7A2;COX5B;COX6A1;COX7C;ATP5F1E;UQCRH;COX6B1;COX7A2L;UQCRQ,2.3686050559922287e-06,0,0,60,neg,KEGG_2021_Human
