rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Regulation Of Phagocytosis (GO:0050764),1.7578280941922455e-06,14.044803413593417,186.11375104535156,FGR;SNX3;HCK;FCER1G;SLC11A1;DYSF;SIRPB1,0.002123249402238606,0,0,PC1,neg,GO_Biological_Process_2023
2,Neutrophil Activation Involved In Immune Response (GO:0002283),3.031048397200008e-06,57.70553935860058,733.2413213987782,FCER1G;TYROBP;STXBP2;LILRA2,0.002123249402238606,0,0,PC1,neg,GO_Biological_Process_2023
3,Defense Response To Fungus (GO:0050832),9.291744507873701e-06,21.128205128205128,244.79950290336265,CLEC4D;S100A12;CLEC4E;S100A9;S100A8,0.0034514708226634884,0,0,PC1,neg,GO_Biological_Process_2023
4,Positive Regulation Of Inflammatory Response (GO:0050729),9.854306417311887e-06,8.552083333333334,98.58501292550258,NLRP12;CASP4;S100A12;NLRC4;S100A9;TLR4;S100A8;GPSM3,0.0034514708226634884,0,0,PC1,neg,GO_Biological_Process_2023
5,Innate Immune Response-Activating Signaling Pathway (GO:0002758),1.6073421914510297e-05,33.6530612244898,371.4740483715657,HCK;NLRC4;LILRA2;CLEC4E,0.004503772820445785,0,0,PC1,neg,GO_Biological_Process_2023
6,Myeloid Cell Activation Involved In Immune Response (GO:0002275),2.0854898756677612e-05,31.062794348508636,334.7923648041761,FCER1G;TYROBP;DYSF;LILRA2,0.004574215882241245,0,0,PC1,neg,GO_Biological_Process_2023
7,Positive Regulation Of NF-kappaB Transcription Factor Activity (GO:0051092),2.2854754586501582e-05,6.477245267821184,69.21811893284182,IL18RAP;FLOT1;S100A12;FLOT2;IRAK3;NLRC4;S100A9;TLR4;S100A8,0.004574215882241245,0,0,PC1,neg,GO_Biological_Process_2023
8,Positive Regulation Of Response To External Stimulus (GO:0032103),2.6685237533365166e-05,6.343182959190992,66.80259731351644,NLRP12;CASP4;LY96;S100A12;NLRC4;S100A9;TLR4;S100A8;GPSM3,0.004673252223030575,0,0,PC1,neg,GO_Biological_Process_2023
9,Positive Regulation Of Defense Response (GO:0031349),3.5528440712023817e-05,7.070402298850575,72.43752326330915,NLRP12;CASP4;S100A12;NLRC4;S100A9;TLR4;S100A8;GPSM3,0.00553059393750504,0,0,PC1,neg,GO_Biological_Process_2023
10,Response To Molecule Of Bacterial Origin (GO:0002237),6.586311768734704e-05,9.689248895434462,93.2874289540616,SLC11A1;LY96;IRAK3;S100A9;TLR4;S100A8,0.00922742278799732,0,0,PC1,neg,GO_Biological_Process_2023
11,Response To Lipid (GO:0033993),0.00012009709583364972,6.935912269228835,62.61193666807985,RXRA;SLC11A1;LY96;IRAK3;S100A9;TLR4;S100A8,0.01529600284208575,0,0,PC1,neg,GO_Biological_Process_2023
12,Regulation Of Inflammatory Response (GO:0050727),0.00015781809133232918,4.478260869565218,39.20299797462825,HCK;NLRP12;ALOX5;CASP4;S100A12;NLRC4;TLR4;S100A9;S100A8;GPSM3,0.018425262163049433,0,0,PC1,neg,GO_Biological_Process_2023
13,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091),0.00019276798750342595,4.36306868867083,37.32179091476809,IL18RAP;FLOT1;S100A12;HCLS1;FLOT2;IRAK3;NLRC4;TLR4;S100A9;S100A8,0.018938439994010736,0,0,PC1,neg,GO_Biological_Process_2023
14,Regulation Of Interleukin-1 Beta Production (GO:0032651),0.00019728201697050076,7.819984139571768,66.71131732122619,SERPINB1;NLRP12;TYROBP;NLRC4;LILRA2;TLR4,0.018938439994010736,0,0,PC1,neg,GO_Biological_Process_2023
15,Phosphatidylcholine Acyl-Chain Remodeling (GO:0036151),0.00020276702349047898,33.48730964467005,284.75776049641166,MBOAT7;TSPO;PLB1,0.018938439994010736,0,0,PC1,neg,GO_Biological_Process_2023
