,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64
AGE_mid,0.10835590791077708,0.00561681974939095,-0.08638088002080645,-0.2578554790506531,-0.12520222411772336,-0.22890560512459185,-0.012214468377996963,0.11294963735169714,-0.14488322358435277,-0.05069342143122225,-0.16698437335724364,-0.15572447853906088,-0.11466014732321594,-0.19319734702280336,0.16397853672875046,0.0614100358811231,-0.10896711488521543,-0.11501281166390252,0.2883073379023125,0.04315124370903157,-0.01777223774618491,-0.22799948346842433,-0.09082067861894541,0.029738135694312644,-0.07094865363808783,-0.16519093029884663,0.13068517786934328,-0.02479168169408352,0.03445627680927452,-0.11241750947229834,-0.0396382578857439,-0.06716172125741823,-0.10746670768752624,-0.10484924504284972,-0.12477023980750732,0.22852892559726054,-0.06244672355454978,0.14368035660033276,0.08009318868582484,-0.33190099578697346,0.16136060437881863,-0.08675668035624949,-0.3469011776408536,0.09442282413467563,0.1701024454543134,0.1960722081474045,-0.17948956520084516,-0.1460943405196524,0.02938933738918921,0.18652411197926158,0.015293976469231092,0.07175678755175734,-0.22509411558967526,0.007382827203386484,0.15628869090051653,0.049649495479373584,-0.023460898312193425,0.03301853311013705,-0.24427940739978118,-0.14532519214217585,-0.16247579304850904,-0.018836108105798645,0.18128600714664167,0.13142220563358947
DTHHRDY,0.364233968728274,-0.03941111812764657,-0.17409185435289265,-0.3615089559118339,-0.374949535025621,-0.4019312105205343,-0.1453243030991701,0.207788546856561,-0.17865104977021265,-0.19923983519482566,-0.15816360841354662,-0.35874105789665317,-0.12748308452725018,-0.24920690644018265,0.38863915732577387,0.0485758911209752,-0.18005181264918033,-0.2314897621758709,0.40509454964610037,0.09995985463420679,-0.08372588222747941,-0.5315038641577263,0.09049511566953496,-0.10264541144131242,-0.1854994934213202,-0.37297399662901837,0.3068359795806458,-0.03251055893002894,0.10575880367770041,-0.17211333405245846,-0.2276004650084115,-0.09026152416665985,-0.03197412798484573,-0.01055168357358804,-0.29949945248875076,0.24407044154929583,0.08636553126968786,0.25075490759788605,0.1879536951534244,-0.6180640459770712,0.36147376944662196,-0.16258772358729853,-0.5546359560225729,0.203030160263295,0.3686600628018413,0.16575011392528183,-0.22656939043401142,-0.31208604145340546,0.17274042842822837,0.268100642185873,-0.09482466382950253,0.15526088768285592,-0.5097557822939577,0.004672236680751527,0.10741244555568982,0.17598113440411423,-0.020987398196346367,0.1168231307363611,-0.3849043498850042,-0.22232306449916006,-0.2770198825068921,0.038739173207428826,0.4793668479400595,0.19183846524870324
SMRIN,-0.019491839173340166,-0.05125175127345226,-0.04712339773642838,0.4315650970360006,0.07113683932272687,0.1341185688862137,0.19852949200066417,-0.13657318784684916,0.02216750188088437,0.3795730075212885,-0.07143837226652665,-0.14426207495107138,0.35450509946638226,0.4282152039290235,0.12244170882698041,0.17566974823291576,-0.0011115163763176972,-0.0110784913077635,-0.021649262792429062,-0.0634163712266985,0.29864618831520723,0.22878722517286224,-0.18425156671434825,-0.041189476668972776,0.0656234917058275,-0.15934372082173215,0.02492277234742861,0.34545595653256816,-0.34239338898233157,0.1676484894565748,-0.01767752685120011,0.2373499071737659,0.13455747856447664,-0.1489672831963038,0.1472852213514186,0.22245218027778788,-0.08071231665615329,0.054741410275491946,0.08163561124913599,0.39424150257626484,0.17761713448086672,-0.13579008827000755,0.20997504420070504,0.18796621273807232,0.15444865549391953,0.08479288698118999,-0.07006622862327296,0.09019468631340662,-0.21571224224832403,-0.28981899376192694,0.004749697662995255,0.11915930370800171,0.09244653976550515,-0.07461827543707264,0.10722529574192861,0.27235579549264993,-0.13736769972480617,0.1119349575680841,0.21948727836545034,0.4716786163888384,0.1812525438773344,-0.06081847221730337,-0.026975072900145673,-0.1576003178583517
SMTSISCH,0.40514999738353835,-0.04378386733706077,-0.09325451289383214,-0.32136595459220035,-0.3823127606190658,-0.40952618326669,-0.14960392630398345,0.28164714324044743,-0.18160429336445796,-0.25725807069238393,-0.1741113063764823,-0.44998166558297065,-0.09700763609590086,-0.2383103649972258,0.4374946842072447,0.07825523227316632,-0.14397156718408546,-0.24733772501144324,0.3847609825251722,0.14495898634187,-0.09123744044503904,-0.558540768076196,0.1951862333123953,-0.13961337537950058,-0.2334090920655025,-0.4122458748935367,0.3101064669146125,-0.026772874708329772,0.09597180767163084,-0.11765084683186851,-0.2969138791548766,-0.031749477181559786,0.05919932596384395,0.060384833478659534,-0.301037297824145,0.28496179655953924,0.08794501996711616,0.25118185763450473,0.21987276309230502,-0.6581398820855859,0.4498090216086899,-0.16566739609479686,-0.5421128473515756,0.21689292479022054,0.40649585764180257,0.11876871125212422,-0.1897549615626229,-0.3329003714820114,0.14720299198623663,0.27294398362602496,-0.062420691084276635,0.1831498713648204,-0.5552093013923541,0.04283668690615008,0.05061241943181563,0.1822011087773953,-0.04399660835255733,0.0780321836260498,-0.4247505197479608,-0.18360920446093884,-0.24757312392508266,0.03187397164639471,0.47763763157623956,0.16245686992720168
SMRDLGTH,0.017104318786816654,-0.0313537140908991,-0.005144871710684409,-0.06030748962377262,-0.03562436555097442,-0.008996945812935482,-0.08738495952594852,-0.01579167247475057,0.05074754246028182,-0.07120815640391506,0.0008595256302400973,-0.01202129607529726,0.015621697388392806,0.012098936308291649,-0.009945955101541988,0.0211546606027031,0.0001347737942798009,0.013394036804991767,0.03817179861942013,-0.07718875723274948,-0.019219137845145347,-0.02647137164262791,-0.00972158798754974,-0.06284450486434479,-0.0206732472935995,0.03093327249019222,-0.0028836547553959683,-0.05132787030351103,0.0336639496678662,0.03197023017832062,-0.0112622202380273,-0.028061461160168274,0.033823068280966276,0.007873465322783683,-0.018435936511747183,-0.042097455484862205,0.03812804374235126,-0.01677478644197467,0.0452560312347736,-0.03660649256608418,0.012879615430730951,-0.04653501151360624,0.002130281308119945,0.020997735216523775,-0.05211776097901746,-0.02187897379327925,0.0383111781902335,-0.048968725766211314,-0.003336994759914029,0.00885943048500475,-0.02874870881578383,-0.024278144721882576,0.0032461951653951727,-0.05070411656725106,0.004122279658886897,-0.024524553766428314,0.06267189790568213,-0.04165036617706827,-0.0014213207059890149,0.009646798949552324,-0.05479788427616826,0.020448441534223108,-0.018975141350212426,-0.01248110609923152
