,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
SEX,0.0009247662563631958,0.019249236847683152,0.007564647149439199,3.0444457129915974e-05,0.00017653567033235195,3.7259456872943876e-07,0.012058841211025696,0.018254205368288326,0.0034411881591808976,0.00201761622917252,0.00629570333089519,0.004867577761302235,0.02255138622544538,0.0007435644997625859,0.0007142831171445403,0.019199876535808,0.004885295264498023,0.0011938023402042136,0.0004496985263758372,0.00691175543277741,0.0009316969362871254,0.010929350866575404,0.0013033120657317983,0.011878017087874723,0.014362604317733016,0.0041844233375754655,0.0013371396959804428,0.0002658024291855781,0.014072572184349518,0.0023175652457150826,0.01480366471230614,0.03164869566663642,0.03505825686733867,0.003025370121614971,0.0014899777109293288,0.06537532550743387,1.3487672131380574e-07,0.000407657912913266,0.008306018341594007,0.007155897395065231,0.02219512711732056,0.0671693045949967,0.04893738779737195,0.037719295561463806,0.00045459085921485795,0.0004670477354429404,0.002628608323857006,0.025475203861766403,0.050191256982982546,0.21545156660341314
SMCENTER,0.09011634679104749,0.09800751479391215,0.029688784373451977,0.005837189239666877,0.03976225180356514,0.0007597171751002135,0.0248602303858496,5.5986548652123405e-06,0.03212848162905739,0.03134851310696461,0.00016780240366928505,0.0015002056591729676,0.006683118158419123,0.0013168269783304033,0.004785879309890894,0.007489576982465222,0.004232826980474214,0.00012032286101029998,0.009485324769910881,0.0026773686729531544,0.02290395376777623,0.0017004619902287437,0.008207446064921485,0.0028850041529781094,0.0015419096209004417,0.00771512918331472,0.00847521052478382,0.0016288946444629987,0.006777533587998258,0.0008105257175236233,0.002412192624543788,0.006127719254312589,0.001945433144281338,0.0017242755942612075,0.0078086821768889045,0.0049157580437803345,0.002605569058369348,0.005909693292635596,0.004913599838827376,0.005692176539648223,0.01133657124261586,0.0005803858858314495,0.010211064437558034,0.002823706573502595,0.0028106465467685124,0.004155700098622125,0.0007837663998576,0.0006982746115168712,0.004729256432683095,0.0020706260591224017
SMNABTCH,0.1951170206422065,0.14832593109418646,0.22601653385947335,0.18146338462187114,0.10362109238584834,0.2296577907519577,0.17991990893814216,0.10716506036115428,0.15473428272472878,0.1681619852585233,0.15240949057644043,0.11317141519271608,0.15292089649101376,0.16586872552011955,0.2547183787343574,0.20327541333234356,0.22919860367512485,0.15182459143062538,0.17191098543430977,0.2669661897181746,0.28309324860664004,0.175848044001332,0.15657460923333458,0.20991477635385153,0.19970988057249434,0.18715835409502518,0.16779573799684377,0.17319224931055788,0.2113335476724762,0.1407164199681088,0.13587905388756844,0.25176427341134283,0.24050529450652317,0.2620412775184111,0.18024048449872665,0.1898895434929149,0.18660616431155158,0.1609689828212061,0.20233918126931652,0.22339027186928878,0.16871835493583742,0.1476324588981152,0.20147582790362784,0.18664671051913276,0.25224225286094437,0.1729843516834023,0.15445910662958573,0.1900516951952555,0.2929552946088831,0.10299724984592301
SMGEBTCH,0.10712829342219453,0.20443009187212136,0.11901778245308761,0.08583248856619022,0.06301161249339877,0.10034530452475027,0.06962629672905209,0.09461385555800352,0.08814019523841722,0.12534612976068285,0.06894634125025831,0.10240409773161528,0.0956717866169621,0.10098206263623476,0.08319377059126032,0.09489503899382981,0.15422949605752093,0.0890155838267427,0.10935201182253773,0.0912146798130047,0.08259962982960203,0.05527593487239858,0.11571065862256746,0.12713710503120731,0.16079010263194005,0.12309665056967296,0.14046744534152567,0.1406158096032921,0.19245524823063379,0.07315015244739075,0.13099364681399342,0.2568182793919992,0.14070923566049814,0.13305708087836943,0.07412369224875809,0.1784987098452693,0.2135107204218984,0.10155390761730133,0.2171132027856028,0.1581442046612138,0.13494730755740408,0.09506675642924643,0.09417206457449194,0.09126041069271511,0.20304652911397464,0.16107104486528123,0.18775089309082607,0.10351148822279038,0.19500952882414374,0.1130095931715075
