N,cum_var_train,r2_test,mse_test,frac_within_1std,frac_within_0.5std,frac_within_2std,max_abs_err,per_gene_resid_std_p99,per_gene_resid_std_max
1,0.3121092617511749,0.3053254328445074,0.7121285796165466,0.785129973886176,0.4727104532839963,0.9771659674947876,12.757057189941406,1.1031920242309572,1.2859574556350708
2,0.5169978737831116,0.4956756547404503,0.5169101357460022,0.8586822730713068,0.5749666614606486,0.9856876367262374,12.755261421203613,1.0661683881282806,1.2802014350891113
3,0.6092671751976013,0.598622997182235,0.4114033579826355,0.8964053354769022,0.6392431468959936,0.9900055373102216,12.387155532836914,1.0237634611129764,1.2468668222427368
4,0.666109025478363,0.6575370474981883,0.35102346539497375,0.9156040746739594,0.6743346217318129,0.9929533085701616,12.220317840576172,0.9867895108461381,1.234304666519165
5,0.6958199739456177,0.688711982357653,0.31905749440193176,0.9268654564676766,0.6943918078389527,0.9942704675696014,12.304031372070312,0.9609690707921982,1.2382937669754028
6,0.7181400060653687,0.7065215785764721,0.30080345273017883,0.933007283692676,0.7088090195902828,0.9948192838193679,12.24329948425293,0.9497892844676975,1.2270491123199463
8,0.7493268251419067,0.7337037298081206,0.2729444205760956,0.9418598809314477,0.7290305775294422,0.9959021720017431,12.260316848754883,0.9204747360944748,1.2262510061264038
10,0.7717819809913635,0.7535439847340337,0.2526068389415741,0.9483856064883733,0.7468438969994768,0.9964007483560087,12.218419075012207,0.9029949176311497,1.2085210084915161
12,0.7883837819099426,0.7713537554130642,0.2343541830778122,0.9542664046910956,0.7628556793471435,0.9968813038781923,12.433749198913574,0.8777496248483665,1.2071423530578613
16,0.8124741911888123,0.7934853562169304,0.21167191863059998,0.9609483107927309,0.7835266659167088,0.9975109408294169,12.898536682128906,0.8571863555908203,1.2135425806045532
20,0.8295050859451294,0.8090549996283998,0.19571173191070557,0.9656064228429884,0.7981546667948148,0.9979461712284856,12.710736274719238,0.8441033816337589,1.1987614631652832
24,0.8427336812019348,0.8211433185984238,0.1833246648311615,0.969005807076617,0.8109150541662525,0.9981733429298815,12.405784606933594,0.8343661910295489,1.1631027460098267
28,0.853027880191803,0.8309396956181061,0.17328256368637085,0.9717728239299175,0.8218220262623593,0.998350820821597,12.262166976928711,0.8245408880710602,1.1477282047271729
32,0.8616979718208313,0.8386763517671482,0.16535066068172455,0.9738332057312798,0.8307527137734858,0.998459491899909,12.35805892944336,0.8136986774206167,1.1552526950836182
40,0.8748606443405151,0.849165001443949,0.15460029244422913,0.9765527131181828,0.8430773246600343,0.9986500758513205,11.883306503295898,0.8019622880220418,1.1121186017990112
48,0.8849461674690247,0.8570515770679729,0.14651642739772797,0.978326399863697,0.8519730626786384,0.9987642077878391,11.850957870483398,0.7768011456727987,1.117148756980896
56,0.8926929235458374,0.8628366340623793,0.14058661460876465,0.9796992596168443,0.8588908778548001,0.998834106772884,11.620527267456055,0.7717969453334811,1.0942518711090088
64,0.8990710973739624,0.8671542335270889,0.13616116344928741,0.9805822803888568,0.8641715277406136,0.9989045518437496,11.512344360351562,0.7650055271387102,1.0856873989105225
80,0.9086492657661438,0.8726507914852717,0.1305273324251175,0.9817776622502886,0.8705585474990908,0.9989799116870011,11.603060722351074,0.759818105101586,1.0902196168899536
96,0.9161614179611206,0.876558205916318,0.1265224814414978,0.9825995214103868,0.8753013028515509,0.9990252368101161,11.122352600097656,0.7539426833391191,1.0805758237838745
128,0.9276293516159058,0.8812133786208781,0.12175105512142181,0.983630531439799,0.8804716434015905,0.9991022349108296,10.898326873779297,0.7458712017536164,1.0819376707077026
160,0.9367188215255737,0.8842164640078698,0.11867303401231766,0.9842372327865558,0.8837781930457063,0.9991497443772274,10.529557228088379,0.736618801355362,1.041987657546997
192,0.944389283657074,0.8864381784539546,0.11639580875635147,0.984846664562416,0.8859243103209128,0.9991857860413911,10.285726547241211,0.7272838306427005,1.0014349222183228
256,0.9571510553359985,0.889721519632182,0.11303059756755829,0.9856505028904322,0.8891129054277654,0.9992660606570286,9.706975936889648,0.7067112666368486,0.9600800275802612
320,0.9675207734107971,0.8923809474794512,0.11030483990907669,0.9864974819982809,0.8914993004640638,0.9993223074965569,9.810005187988281,0.6872388863563539,0.9353741407394409
400,0.9782588481903076,0.8949751344768386,0.10764586925506592,0.9872232300539423,0.8937240540974457,0.9993987595114497,9.555785179138184,0.6694380366802216,0.9029777646064758
500,0.9889625310897827,0.89774418149026,0.10480763763189316,0.988070209161791,0.8963698398985591,0.999466474153212,8.865184783935547,0.6434913516044618,0.8527602553367615
