rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Endocytosis,9.301652733058166e-06,5.202127659574468,60.26830560762853,IQSEC1;IST1;HGS;SH3KBP1;WIPF1;AGAP2;VPS37B;EPS15L1;ARAP1;IGF2R;CYTH1;DNM2,0.0015998842700860045,0,0,PC4,neg,KEGG_2021_Human
2,Leukocyte transendothelial migration,1.9337057411719328e-05,7.741352201257862,84.02066725844563,RASSF5;ACTN1;PXN;PLCG2;MSN;ACTN4;SIPA1;GNAI2,0.0016629869374078622,0,0,PC4,neg,KEGG_2021_Human
3,Regulation of actin cytoskeleton,7.150769204445601e-05,4.9574898785425106,47.32273856344131,FGD3;DIAPH1;ACTN1;PXN;ITGAX;MSN;MYH9;ARHGEF1;ACTN4;ITGA5,0.004099774343882145,0,0,PC4,neg,KEGG_2021_Human
4,Chemokine signaling pathway,0.0001398199449629582,5.051154407347009,44.82977865028632,PREX1;PXN;STAT3;ELMO1;PLCG2;DOCK2;CXCL16;PIK3R5;GNAI2,0.006012257633407203,0,0,PC4,neg,KEGG_2021_Human
5,Shigellosis,0.00019276798750342595,4.36306868867083,37.32179091476809,DIAPH1;ACTN1;PXN;PLCG2;ELMO1;ACTN4;ARHGEF2;ITGA5;TLN1;CYTH1,0.006087268230031973,0,0,PC4,neg,KEGG_2021_Human
6,Viral carcinogenesis,0.00021234656616390604,4.762076968748313,40.27427007945648,HDAC5;CREBBP;ACTN1;STAT3;MAPKAPK2;PXN;CHD4;ACTN4;JAK1,0.006087268230031973,0,0,PC4,neg,KEGG_2021_Human
7,Notch signaling pathway,0.00030724672721336934,9.376068376068377,75.83232332652554,TLE4;NOTCH2;TLE3;CREBBP;NOTCH1,0.007549491011528504,0,0,PC4,neg,KEGG_2021_Human
8,Kaposi sarcoma-associated herpesvirus infection,0.000741302910875434,4.417792792792793,31.839479869020252,PREX1;CREBBP;STAT3;MAPKAPK2;PLCG2;TYK2;PIK3R5;JAK1,0.015938012583821833,0,0,PC4,neg,KEGG_2021_Human
9,Rap1 signaling pathway,0.0012770836222493714,4.042491749174918,26.9358348955459,SIPA1L1;RASSF5;RAPGEF1;PRKD2;LCP2;TLN1;SIPA1;GNAI2,0.023658379794286553,0,0,PC4,neg,KEGG_2021_Human
10,Thyroid hormone signaling pathway,0.0013754871973422416,5.294038547736441,34.88214091728728,NOTCH2;MED12;NCOA1;CREBBP;NOTCH1;PLCG2,0.023658379794286553,0,0,PC4,neg,KEGG_2021_Human
11,Platelet activation,0.0015592887441538072,5.158658046479119,33.34311780301567,PLCG2;ARHGEF1;LCP2;TLN1;PIK3R5;GNAI2,0.024381605817677714,0,0,PC4,neg,KEGG_2021_Human
12,Osteoclast differentiation,0.0017612136723423994,5.029990627928772,31.898953733425575,PLCG2;LCP2;GAB2;TYK2;FOSL2;JAK1,0.025244062636907726,0,0,PC4,neg,KEGG_2021_Human
13,Tuberculosis,0.002269718946560274,4.1147982868609425,25.0513004350874,PLK3;CREBBP;ATP6AP1;VDR;ITGAX;LSP1;JAK1,0.0284370132428429,0,0,PC4,neg,KEGG_2021_Human
14,Th1 and Th2 cell differentiation,0.002314640612789538,5.809902740937224,35.257399700593666,NOTCH2;NOTCH1;STAT6;TYK2;JAK1,0.0284370132428429,0,0,PC4,neg,KEGG_2021_Human
15,Yersinia infection,0.0025798129561998015,4.643660974266153,27.67639763160527,WIPF1;PXN;ELMO1;ARHGEF1;LCP2;ITGA5,0.029581855231091057,0,0,PC4,neg,KEGG_2021_Human
