rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Regulation Of Lamellipodium Assembly (GO:0010591),0.000316376872754873,13.913441238564392,112.12252948199962,DMTN;AVIL;PLCE1;WASF2,0.19220956395979397,0,0,PC5,neg,GO_Biological_Process_2023
2,Positive Regulation Of CREB Transcription Factor Activity (GO:0032793),0.0007195272026923491,20.086294416243653,145.36282995258424,CAMK1D;RPS6KA5;LPAR5,0.19220956395979397,0,0,PC5,neg,GO_Biological_Process_2023
3,Synaptic Vesicle Exocytosis (GO:0016079),0.0007356418168161046,10.900717043574186,78.64613599642355,PRRT2;SYT2;SNPH;SNCA,0.19220956395979397,0,0,PC5,neg,GO_Biological_Process_2023
4,Regulation Of Autophagy Of Mitochondrion (GO:1903146),0.0008481701801219675,18.82994923857868,133.17348392535672,PINK1;FKBP8;FBXO7,0.19220956395979397,0,0,PC5,neg,GO_Biological_Process_2023
5,Actin Filament Reorganization (GO:0090527),0.0014535707837741265,49.98989898989899,326.6206097208578,DMTN;CASS4,0.19220956395979397,0,0,PC5,neg,GO_Biological_Process_2023
6,Regulation Of Smooth Muscle Cell Differentiation (GO:0051150),0.0014535707837741265,49.98989898989899,326.6206097208578,OLFM2;FOXO4,0.19220956395979397,0,0,PC5,neg,GO_Biological_Process_2023
7,Positive Regulation Of Lamellipodium Assembly (GO:0010592),0.0015052246919242,15.060913705583756,97.87806321199126,AVIL;PLCE1;WASF2,0.19220956395979397,0,0,PC5,neg,GO_Biological_Process_2023
8,Glucose Homeostasis (GO:0042593),0.0018102494535835424,6.165728580362726,38.93220216228463,BACE2;HKDC1;LRRC8A;ADIPOR1;PDK2,0.19220956395979397,0,0,PC5,neg,GO_Biological_Process_2023
9,Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly (GO:0120034),0.0019039709857819793,6.091133765832561,38.15372640786974,AVIL;PLCE1;CCR7;FUZ;WASF2,0.19220956395979397,0,0,PC5,neg,GO_Biological_Process_2023
10,Regulation Of Neutrophil Chemotaxis (GO:0090022),0.0019263332020576173,13.690355329949238,85.59397680666795,CAMK1D;CCR7;JAM3,0.19220956395979397,0,0,PC5,neg,GO_Biological_Process_2023
11,Regulation Of Dendritic Cell Chemotaxis (GO:2000508),0.0020216133697869413,39.98989898989899,248.09171029141777,CCR7;CCR6,0.19220956395979397,0,0,PC5,neg,GO_Biological_Process_2023
12,Cyclic Nucleotide Transport (GO:0070729),0.0020216133697869413,39.98989898989899,248.09171029141777,ABCC4;LRRC8A,0.19220956395979397,0,0,PC5,neg,GO_Biological_Process_2023
13,Positive Regulation Of Dendritic Cell Chemotaxis (GO:2000510),0.0020216133697869413,39.98989898989899,248.09171029141777,CCR7;CCR6,0.19220956395979397,0,0,PC5,neg,GO_Biological_Process_2023
14,Regulation Of Nucleic Acid-Templated Transcription (GO:1903506),0.0020541480117840577,2.8085106382978724,17.378766436054008,KAT2B;LYL1;RPS6KA5;BRPF3;RNF14;CARM1;ZNF737;ASCC2;FOXO4;TCF3;JADE2;SSBP2,0.19220956395979397,0,0,PC5,neg,GO_Biological_Process_2023
15,Negative Regulation Of Oxidative Stress-Induced Neuron Death (GO:1903204),0.0026777674677022855,33.323232323232325,197.36590289038227,PINK1;FBXO7,0.2338583588459996,0,0,PC5,neg,GO_Biological_Process_2023
