latent_dim,latent_var,top1_cluster,top1_w,top2_cluster,top2_w,top3_cluster,top3_w,frac_top3_l1
18,0.0016134616453200579,HALLMARK_G2M_CHECKPOINT,0.007185415364801884,HALLMARK_E2F_TARGETS,0.006232783198356628,HALLMARK_MITOTIC_SPINDLE,0.0058288732543587685,0.19291353662869853
2,0.0016107752453535795,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.004265057388693094,HALLMARK_ESTROGEN_RESPONSE_LATE,0.004020617343485355,HALLMARK_WNT_BETA_CATENIN_SIGNALING,-0.003434618702158332,0.15539302273885747
39,0.0015831023920327425,HALLMARK_PANCREAS_BETA_CELLS,-0.011479532346129417,HALLMARK_MYC_TARGETS_V1,-0.006918636150658131,HALLMARK_ANGIOGENESIS,-0.006574471481144428,0.20607588970159207
27,0.0015373837668448687,HALLMARK_HEME_METABOLISM,-0.005418840795755386,HALLMARK_MYOGENESIS,-0.005104378331452608,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.004785752389580011,0.18266625264237452
23,0.0013994330074638128,HALLMARK_ANGIOGENESIS,-0.00798007845878601,HALLMARK_COAGULATION,-0.004965159110724926,HALLMARK_NOTCH_SIGNALING,-0.004670841619372368,0.1745521840873351
26,0.0013869843678548932,HALLMARK_HEME_METABOLISM,-0.008043086156249046,HALLMARK_MYC_TARGETS_V1,-0.0047541125677526,HALLMARK_APICAL_JUNCTION,-0.003887033089995384,0.1934399048018453
36,0.0013698944821953773,HALLMARK_HEME_METABOLISM,0.005873911548405886,HALLMARK_MITOTIC_SPINDLE,0.0035863725934177637,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.003546209540218115,0.15172130345080717
34,0.001363263581879437,HALLMARK_HEDGEHOG_SIGNALING,0.008844468742609024,HALLMARK_PANCREAS_BETA_CELLS,-0.006100607570260763,HALLMARK_NOTCH_SIGNALING,-0.004832706414163113,0.19658145097190557
49,0.00130643870215863,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0050915079191327095,HALLMARK_GLYCOLYSIS,0.004051973111927509,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.0036207730881869793,0.14654107014928777
13,0.0012537708971649408,HALLMARK_MYOGENESIS,-0.006271704565733671,HALLMARK_HEME_METABOLISM,0.005424883216619492,HALLMARK_MYC_TARGETS_V1,0.0035381049383431673,0.18428148983421663
17,0.0012514772824943066,HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.006380375940352678,HALLMARK_MYOGENESIS,0.005554589442908764,HALLMARK_KRAS_SIGNALING_DN,0.004421273712068796,0.15765526537795146
