rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,dim,direction,library
1,Regulation Of Cell Migration (GO:0030334),4.811897964403172e-10,5.816188502236282,124.78492457095258,PDGFRB;PLEKHG3;CSF1R;RIPOR1;HSPA5;SRC;CAV1;ULK4;PRR5L;ACTN4;LDB2;RHOC;RHOB;PAK1;ZNF703;LMNA;MYADM;CCL3;FLNA;SASH1;ENG;HBEGF,7.93481974330083e-07,0,0,40,neg,GO_Biological_Process_2023
2,Response To Endoplasmic Reticulum Stress (GO:0034976),2.2037329153260466e-07,9.96761133603239,152.78297789456394,PDIA3;PPP1R15A;JUN;CXCL8;HSPA5;DDIT3;HYOU1;ATF3;PDIA4;HSP90B1,0.00018169777886863255,0,0,40,neg,GO_Biological_Process_2023
3,Positive Regulation Of Cell Migration (GO:0030335),6.569734377835737e-07,5.7011752938234554,81.15977785724597,PDGFRB;CSF1R;RIPOR1;HSPA5;SRC;CAV1;TNFRSF18;ACTN4;RHOC;PAK1;ZNF703;MYADM;CCL3;HBEGF,0.00036111639963503766,0,0,40,neg,GO_Biological_Process_2023
4,Positive Regulation Of Cell Motility (GO:2000147),2.4265598802658205e-06,5.983202687569989,77.35704288770617,PDGFRB;CSF1R;RIPOR1;PAK1;HSPA5;CAV1;ZNF703;MYADM;CCL3;ACTN4;RHOC;HBEGF,0.0010003493106395846,0,0,40,neg,GO_Biological_Process_2023
5,Cellular Response To Organic Cyclic Compound (GO:0071407),3.1260537492077673e-06,7.2861378799110454,92.35718304457768,HSPA8;DIAPH1;P2RY6;P2RY2;ZNF703;CCL3;MSN;HSPA1B;HSP90B1;HSPA1A,0.0010309725264887218,0,0,40,neg,GO_Biological_Process_2023
6,Cellular Response To Steroid Hormone Stimulus (GO:0071383),4.294348465832447e-06,25.358974358974358,313.3915485176811,HSPA8;SRC;AKR1C3;HSPA1B;HSPA1A,0.0011241010432925629,0,0,40,neg,GO_Biological_Process_2023
7,Response To Unfolded Protein (GO:0006986),4.771805520344415e-06,16.08410200759631,197.07505682737633,HSPA8;HSP90AB1;HSPH1;DDIT3;HSPE1;HSPA1A,0.0011241010432925629,0,0,40,neg,GO_Biological_Process_2023
8,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),5.915763017277761e-06,3.763508680668444,45.30470378233798,PDGFRB;HSP90AB1;SRC;CAV1;AKR1C3;FASLG;RHOC;DDIT3;CCL4;CCL3;FLNA;PMAIP1;HLA-DRB1;SASH1;BRD4;ENG;HBEGF;BOK,0.0011762867158642695,0,0,40,neg,GO_Biological_Process_2023
9,Chaperone Cofactor-Dependent Protein Refolding (GO:0051085),6.420000268513295e-06,23.05128205128205,275.60325810758144,HSPA8;HSPA5;HSPE1;HSPA1B;HSPA1A,0.0011762867158642695,0,0,40,neg,GO_Biological_Process_2023
10,'De Novo' Post-Translational Protein Folding (GO:0051084),1.5377155419858243e-05,18.77777777777778,208.10711759419502,HSPA8;HSPA5;HSPE1;HSPA1B;HSPA1A,0.0024780140212000267,0,0,40,neg,GO_Biological_Process_2023
