rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,dim,direction,library
1,NOD-like receptor signaling pathway,0.03560935353487447,2.858974358974359,9.535099573122924,GABARAPL2;RNASEL;AIM2;MFN1;FADD,0.9075888225838303,0,0,40,pos,KEGG_2021_Human
2,Glycerophospholipid metabolism,0.07527751281375963,3.1586962329682073,8.170200992229566,CHKA;CDIPT;AGPAT2,0.9075888225838303,0,0,40,pos,KEGG_2021_Human
3,Sulfur relay system,0.07726807133802915,14.208901651112706,36.38152974515558,MOCS3,0.9075888225838303,0,0,40,pos,KEGG_2021_Human
4,Proteasome,0.07734722537002725,4.5353535353535355,11.608013208044897,PSMD9;PSMD6,0.9075888225838303,0,0,40,pos,KEGG_2021_Human
5,Sphingolipid metabolism,0.08621893825800953,4.24521813883516,10.404458354124063,SPTLC2;SGMS2,0.9075888225838303,0,0,40,pos,KEGG_2021_Human
6,Glycosaminoglycan biosynthesis,0.09849179715211694,3.9114676173499703,9.065929283683163,HS3ST3B1;NDST1,0.9075888225838303,0,0,40,pos,KEGG_2021_Human
7,TNF signaling pathway,0.10222287781096173,2.751036184976482,6.27401249877334,FADD;IL18R1;MAP2K6,0.9075888225838303,0,0,40,pos,KEGG_2021_Human
8,Pyrimidine metabolism,0.10799756435943055,3.6936026936026938,8.220654292796869,NT5C3A;CMPK2,0.9075888225838303,0,0,40,pos,KEGG_2021_Human
9,Mineral absorption,0.12102940384644344,3.4381748519679554,7.260468635528234,SLC40A1;SLC30A1,0.9075888225838303,0,0,40,pos,KEGG_2021_Human
10,Epstein-Barr virus infection,0.14468183740260707,2.020408163265306,3.9058897765052847,PSMD6;FADD;SAP30;MAP2K6,0.9075888225838303,0,0,40,pos,KEGG_2021_Human
