rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,dim,direction,library
1,Macromolecule Biosynthetic Process (GO:0009059),2.2957105959292524e-15,13.385821404226313,451.20570688323085,RPL4;EIF5A;RPL5;RPL30;RPS9;RPL32;PABPC4;RPL11;MRPS21;RPL10A;EEF1B2;EEF1A1;RPS16;RPS18;RPS29;RPL37;FAU;RPS21;MRRF;RPS13,2.747965583327315e-12,0,0,15,pos,GO_Biological_Process_2023
2,Peptide Biosynthetic Process (GO:0043043),2.9207438348940034e-14,13.888540031397174,432.8273639167004,RPL4;RPL5;RPL30;RPS9;RPL32;PABPC4;RPL11;MRPS21;RPL10A;EEF1A1;RPS16;RPS18;RPS29;RPL37;FAU;RPS21;MRRF;RPS13,1.748065185184061e-11,0,0,15,pos,GO_Biological_Process_2023
3,Translation (GO:0006412),2.567054150878797e-13,10.16926272066459,294.8155417960241,RPL4;EIF5A;RPL5;RPL30;RPS9;RPL32;PABPC4;RPL11;MRPS21;RPL10A;EEF1A1;EEF1B2;RPS16;RPS29;RPS18;RPL37;FAU;RPS21;MRRF;RPS13,8.085471467502759e-11,0,0,15,pos,GO_Biological_Process_2023
4,Gene Expression (GO:0010467),2.7019119356734365e-13,8.807758549987698,254.89341944175587,RPL4;RPL5;RPL30;RPS9;RPL32;NCBP2;PABPC4;RPL11;EIF4A3;MRPS21;RPL10A;EEF1A1;RPS16;RPS29;RPS18;HNRNPH1;DKC1;RPL37;FAU;RPS21;MRRF;RPS13,8.085471467502759e-11,0,0,15,pos,GO_Biological_Process_2023
5,Cytoplasmic Translation (GO:0002181),4.69256448737337e-13,18.789573975772424,533.3914170789263,RPL4;RPL5;RPL30;RPS9;RPL32;RPL11;RPL10A;RPS16;RPS18;RPS29;RPL37;FAU;RPS21;RPS13,1.1233999382771849e-10,0,0,15,pos,GO_Biological_Process_2023
6,Ribosome Biogenesis (GO:0042254),5.345512042948796e-08,8.774140752864158,146.9179277860246,RPL5;RPS9;NPM1;RPS16;NOP16;UTP4;DKC1;RPL11;NOLC1;SNU13;PWP2;RPS13,1.0664296525682848e-05,0,0,15,pos,GO_Biological_Process_2023
7,Ribonucleoprotein Complex Biogenesis (GO:0022613),3.0483034826920857e-07,9.596491228070175,143.981056426353,RPL5;RPS9;NPM1;RPS16;NOP16;UTP4;RPL11;SNU13;PWP2;RPS13,5.212598955403467e-05,0,0,15,pos,GO_Biological_Process_2023
8,Regulation Of Translation (GO:0006417),9.453711138770023e-07,6.587905935050392,91.38537750580987,APP;RPL5;NPM1;PRKDC;NCBP2;EIF4A3;NOLC1;EIF3E;BZW2;ZCCHC4;SOX4;EIF3B,0.00014145115291384647,0,0,15,pos,GO_Biological_Process_2023
9,rRNA Processing (GO:0006364),7.93180929262405e-06,8.829301075268818,103.69686890512851,RPL5;RPS16;UTP4;DKC1;PRKDC;RPL11;NOLC1;SNU13,0.0010549306359189986,0,0,15,pos,GO_Biological_Process_2023
10,"Maturation Of SSU-rRNA From Tricistronic rRNA Transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",1.105992394212401e-05,20.28205128205128,231.46246946256952,RPS16;UTP4;TSR1;PWP2;RPS21,0.001323872895872244,0,0,15,pos,GO_Biological_Process_2023
