rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,dim,direction,library
1,"mRNA Splicing, Via Spliceosome (GO:0000398)",2.1678209556583144e-07,6.882352941176471,105.60539171946503,PRPF38A;DHX8;DDX46;DDX23;CDC5L;SMU1;SFPQ;HNRNPK;SNW1;MFAP1;DHX38;DHX16;DCPS,0.00017500052275769808,0,0,60,pos,GO_Biological_Process_2023
2,mRNA Processing (GO:0006397),2.551028028537873e-07,6.77859366270253,102.90989229345651,PRPF38A;DHX8;DDX46;DDX23;CDC5L;RPRD2;SMU1;SFPQ;HNRNPK;SNW1;MFAP1;DHX38;DHX16,0.00017500052275769808,0,0,60,pos,GO_Biological_Process_2023
3,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",2.0569158791284007e-06,6.76062114523653,88.52562068292198,SMU1;PRPF38A;HNRNPK;SNW1;DHX8;DDX46;MFAP1;DDX23;DHX38;DHX16;CDC5L,0.0009406961953880552,0,0,60,pos,GO_Biological_Process_2023
4,Response To DNA Damage Checkpoint Signaling (GO:0072423),9.70634307108318e-06,150.746192893401,1740.0227480112783,SLX4;FBH1;SMC1A,0.0033292756733815307,0,0,60,pos,GO_Biological_Process_2023
5,mRNA Export From Nucleus (GO:0006406),3.579115113132364e-05,10.904270986745214,111.63585313557861,MCM3AP;NUP133;POLDIP3;NCBP3;IWS1;SMG6,0.009821091870435205,0,0,60,pos,GO_Biological_Process_2023
6,poly(A)+ mRNA Export From Nucleus (GO:0016973),5.082545165940558e-05,23.74909963985594,234.8100391955592,MCM3AP;NUP133;POLDIP3;IWS1,0.011622086612784075,0,0,60,pos,GO_Biological_Process_2023
7,mRNA Destabilization (GO:0061157),6.723327393029232e-05,13.334682860998651,128.110862510313,YTHDF1;FXR2;CNOT1;DCPS;GIGYF2,0.013177721690337294,0,0,60,pos,GO_Biological_Process_2023
8,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),8.739012574134849e-05,3.818816278437415,35.68732792136112,VCP;PSMD11;UBR4;UBE4B;RNF40;CNOT4;NPLOC4;WDR81;RNF216;PSMD2;PSMD1;UBXN7;UBA1,0.014987406564641266,0,0,60,pos,GO_Biological_Process_2023
9,Erythrocyte Development (GO:0048821),0.00015320271943439296,37.6751269035533,330.92884130781977,MED1;NCKAP1L;ZBTB7A,0.023354903451554127,0,0,60,pos,GO_Biological_Process_2023
10,Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060338),0.000316376872754873,13.913441238564392,112.12252948199962,PTPN1;MAVS;NLRC5;TTLL12,0.04340690694196857,0,0,60,pos,GO_Biological_Process_2023
