tissue,pc,mean,std,count
blood,1,1.718458321738807e-07,59.52157249070833,803
blood,2,4.0288109930781917e-07,47.975051586092285,803
blood,3,2.563537874376195e-07,32.81468700616738,803
blood,4,-2.5065683041830286e-07,25.559657160427903,803
blood,5,-1.0545227495700604e-07,18.49535608738793,803
blood,6,-2.2583238659878893e-07,15.62260071863064,803
blood,7,1.6118491423382408e-07,13.734341840078136,803
blood,8,2.339834887835929e-07,12.635172943809378,803
blood,9,1.03616885200681e-07,11.475196475077118,803
blood,10,1.1173290331589329e-07,10.970565508736708,803
liver,1,58.18942442695603,22.651642179879296,262
liver,2,-37.44106649624482,17.268607846266104,262
liver,3,24.849529052736195,13.019043254823519,262
liver,4,115.39095772313708,10.671523918578634,262
liver,5,-39.7395459650127,16.72576967122306,262
liver,6,31.41105829850408,11.052367733134318,262
liver,7,-13.202136893308799,6.863984980167245,262
liver,8,14.03737685414216,6.572946361511788,262
liver,9,-14.112094021139255,5.581315217518864,262
liver,10,-70.40268250094115,10.4396765378047,262
lung,1,156.00811028638424,18.195808534525447,604
lung,2,33.602520107038764,16.93056915591982,604
lung,3,29.60943558239779,20.714866032912322,604
lung,4,58.86871485362779,15.733189528872765,604
lung,5,-14.3794719111051,11.030378023677994,604
lung,6,43.08258427373621,10.893373636182892,604
lung,7,1.3291287377772742,6.356784267275927,604
lung,8,6.859035317422143,7.292897759564899,604
lung,9,-1.6638688492705884,7.154630781333077,604
lung,10,-51.98713192402922,10.639857230308444,604
muscle,1,59.85341956439112,24.755363168168113,818
muscle,2,-36.37826088850539,18.986348993406633,818
muscle,3,45.68517451538433,14.146841947740493,818
muscle,4,117.70194463566638,11.109565821224963,818
muscle,5,-51.14466993033449,10.788660276769894,818
muscle,6,45.38618761869398,6.514594664572713,818
muscle,7,-29.94971823808908,7.008941347650425,818
muscle,8,11.417717531214134,6.281319213613065,818
muscle,9,-22.9569856142648,4.7529792714210854,818
muscle,10,-63.93418562499701,6.158948197547662,818
spleen,1,178.59163365553434,14.050920843413529,277
spleen,2,54.67413198560584,10.169466338000849,277
spleen,3,-7.100023895824859,15.387724274172049,277
spleen,4,52.19467150003041,9.223756509010785,277
spleen,5,-21.239760818894588,10.305195288624416,277
spleen,6,23.098915233939135,9.886166988058847,277
spleen,7,5.8520471998070125,4.918815415672954,277
spleen,8,-10.173198253561873,8.151299917565755,277
spleen,9,-3.6048991239565806,6.237876148828924,277
spleen,10,-53.40741225011943,8.885145033826944,277
