rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,MAF 26560356 Chip-Seq TH1 Human,2.8824061047633005e-10,3.334133344180938,73.24165912387178,GSK3A;ZFAND3;TESK2;DCAF8;FHL3;UBE2L6;CRIP2;IFIT3;APOLD1;AFF1;PPP1R9B;RXRA;TRIM5;PIM1;ZNF768;FBXO6;ZNF563;MICB;HEXIM1;IL15RA;MARCKSL1;CISH;STAT1;STAT2;MID1IP1;SLC11A2;PBX3;BSDC1;IFI44;SHISA4;ISG15;PML;ETV6;MAD2L2;TNIP1;ZNF219;GNB1;IRF2;CAT;IRF7;ID3;ARHGEF2;LPIN2;ZCCHC2;ASF1B,2.1185684870010258e-07,0,0,23,neg,ChEA_2022
2,KDM2B 26808549 Chip-Seq HPB-ALL Human,1.0622249391834153e-09,3.2258729545161704,66.6558906893451,SLC48A1;SEMA7A;IFIT5;IFI6;TESK2;MOSPD3;IFIT3;DEDD2;BBC3;PPP1R9B;CNN3;HDAC7;STK11;PIM1;HES1;FBXO6;RFFL;DCAF11;DEDD;MICA;ZNF563;MICB;SCYL1;HEXIM1;TLE4;IL15RA;MARCKSL1;BAD;STAT1;LMO4;TNK2;MX1;FOXJ2;ISG15;USF2;MAD2L2;MBLAC1;TBC1D20;GNB1;IRF2;ID3;ARHGEF2;ZCCHC2;ASF1B,3.903676651499051e-07,0,0,23,neg,ChEA_2022
3,P300 27058665 Chip-Seq ZR-75-30cells Human,2.841300602838726e-09,3.1128516873197722,61.2578205909449,SLC48A1;GSK3A;IFI6;DCAF8;FHL3;UBE2L6;CRIP2;IFI44L;BBC3;PPP1R9B;CNN3;HDAC7;STK11;PCBP2;HES1;FBXO6;GBP2;DCAF11;ERMAP;IL15RA;MARCKSL1;LMO4;KRT8;FOXJ2;BSDC1;KRT7;IFI44;ARNT;ISG15;FBXL15;TUBG2;PML;NR2F6;ETV6;ENAH;DRAP1;RSPH3;KRT19;NFIA;GNB1;CDC42EP3;WAC;ID3;ZCCHC2,6.961186476954879e-07,0,0,23,neg,ChEA_2022
