rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Influenza A,9.385128296100878e-06,6.380116959064328,73.85868527188715,IFIH1;RSAD2;STAT1;IL1B;OAS3;STAT2;MX1;IRF7;CCL2;PML,0.0009658977202840123,0,0,23,neg,KEGG_2021_Human
2,Measles,1.1166447633341182e-05,7.129681836488119,81.29688888309488,IFIH1;BAD;STAT1;IL1B;OAS3;STAT2;MX1;IRF7;BBC3,0.0009658977202840123,0,0,23,neg,KEGG_2021_Human
3,Hepatitis C,2.953068111746973e-05,6.256827508136409,65.25921644402419,RXRA;RSAD2;BAD;STAT1;OAS3;STAT2;MX1;IRF7;IFIT1,0.0017029359444407544,0,0,23,neg,KEGG_2021_Human
