rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library,var_explained,cum_var
1,MYC 22102868 ChIP-Seq CA46 Human Blood BurkittsLymphoma,7.882049902269671e-29,5.826496576745274,377.03480572564536,TCERG1;RBM28;NAA40;DYRK2;TMEM41A;PDCD7;SETD6;DIS3L;HNRNPR;MTR;DCAF1;IPO9;GATAD1;CDK5RAP1;METTL16;FNBP4;MCCC2;NOM1;KLF12;MRPS27;RFC1;TEX10;ANGEL1;THOC1;CHD1L;URB1;BAZ1B;ITFG2;GTPBP3;DDX19A;SLC7A6;RAD51D;RNF125;RBL1;NEMP2;NFX1;HNRNPH1;DEPDC5;MRRF;SRSF7;ANAPC1;RNASEH2B;DNMT1;SET;AARS2;PRDM15;NOLC1;AKAP1;NOL6;ZBTB40;DCAF16;EXOSC9;NAA25;DROSHA;BRD9;ASCC3;LRIG2;EXOSC2;MDN1;GCN1;EIF2B5;HSPA9;USP24;NPM1;NOP14;NOP58;PHF10;MGA;RCC2;NR1D2;UBE2G2;MYO9A;TDRD3;ADAT2;LETM1;CDK6;POLR3D;FUBP1;SERBP1;CCDC88C;BCL2;CNOT9;RBMX;RAD18;OTUD3,5.761778478559129e-26,0,0,1,pos,ChEA_2022,0.31109592,0.31109592
2,KDM5B 21448134 ChIP-Seq MESCs Mouse,2.2314781138623064e-25,4.889014950961854,277.51008637691086,RPAIN;TCERG1;RBM28;DGKE;PDCD7;NVL;HNRNPR;NUCKS1;ELAVL1;IPO5;SMPD4;IPO9;EEF2K;SART3;XPO4;AKT3;XPO5;CLCC1;FNBP4;NOM1;MRPS27;RFC1;KDM2B;TEX10;BCKDHB;THOC1;DDX10;CDKAL1;URB1;BAZ1B;GTPBP3;DCTD;DDX19A;SLC7A6;LSG1;ILF3;NFX1;HNRNPH1;ANAPC1;MCPH1;NUP205;DNMT1;CAMK2D;RRN3;SET;PDXDC1;PRDM15;GMPS;DLST;NOD1;AKAP1;MAPK9;EXOSC9;ZNHIT6;BMS1;INPP5E;NAA25;ASCC3;RBBP7;BUB3;EXOSC2;ZC3H14;COX10;MDN1;PTCD3;EIF2B5;HSPA9;CYB5B;USP24;NPM1;NOP14;NOP58;PLEKHA1;PHF10;AGK;MGA;NONO;EXOC6B;DDX31;DDHD2;NAP1L1;MYO9A;MYO19;POLR3A;FUBP1;DNAJA3;SERBP1;TTC3;TPP2;TUBGCP4;R3HDM1;METAP1,8.156052506166731e-23,0,0,1,pos,ChEA_2022,0.31109592,0.31109592
3,RUNX2 24655370 ChIP-Seq MC3T3E1 Mouse Bone,1.4475245331739185e-18,3.632662611137108,149.21770798266675,PDCD7;HNRNPR;MPRIP;CDK5RAP1;NFATC2IP;CLCC1;FNBP4;NOM1;KDM2B;RSAD1;DDX10;CHD1L;GTPBP3;DCTD;LARS2;RFX5;ANAPC1;NUP205;URI1;DNMT1;SET;MEAF6;GMPS;NOLC1;ZBTB5;INPP5B;INPP5F;ZNHIT6;TTC21B;INPP5E;ST3GAL5;ZC3H14;MDN1;GCN1;RCC2;OSBPL3;GFPT1;EXOC6B;HPS4;ABHD15;TIMM10B;CDK6;TDP1;FUBP1;TUBGCP4;RAD18;RBM28;DIS3L;ELAVL1;EEF2K;SART3;GATAD1;METTL16;RFC1;MRPS25;TEX10;ACTR5;BAZ1B;ITFG2;DDX19A;SLC7A6;RAD51D;RBL1;NFX1;DEPDC5;MRRF;MCPH1;CAMK2D;STX17;NOD1;AKAP1;NOL6;ZBTB40;EXOSC6;MTA1;UNK;BMS1;TYW1;NAA25;LRIG2;BUB3;EXOSC2;TRIM44;CYB5B;USP24;PLEKHA1;AGK;MGA;ELP1;DDX31;DDHD2;WWP1;MYO9A;MYO19;LETM1;MPHOSPH9;SERBP1;ESYT2;METAP1;OTUD3,3.527134779167114e-16,0,0,1,pos,ChEA_2022,0.31109592,0.31109592
1,RNA Binding (GO:0003723),3.228119407811713e-14,4.271614472718848,132.69467741640744,TCERG1;RBM28;AARS2;NVL;NOLC1;HNRNPR;NUCKS1;ELAVL1;AKAP1;NOL6;IPO5;EXOSC6;UNK;SART3;ZC3H7B;EXOSC9;BMS1;XPO5;DROSHA;ASCC3;METTL16;EXOSC2;ZC3H14;GCN1;PTCD3;HSPA9;NOM1;NPM1;NOP14;NOP58;MRPS27;RCC2;NONO;ELP1;DDX31;DDX10;NAP1L1;URB1;TDRD3;DDX19A;ILF3;NFX1;HNRNPH1;FUBP1;SERBP1;R3HDM1;SRSF7;RBMX,8.1025797136074e-12,0,0,1,pos,GO_Molecular_Function_2023,0.31109592,0.31109592
2,Ribosome Binding (GO:0043022),0.0002105199505203,7.7206055069816,65.36210680281118,PTCD3;NPM1;MRPS27;SERBP1;MRRF;GCN1,0.0264202537902996,0,0,1,pos,GO_Molecular_Function_2023,0.31109592,0.31109592
3,RNA Exonuclease Activity (GO:0004532),0.0003305707549056,27.395939086294412,219.56995457412373,EXOSC6;EXOSC9;EXOSC2,0.0276577531604388,0,0,1,pos,GO_Molecular_Function_2023,0.31109592,0.31109592
1,Ribosome biogenesis in eukaryotes,1.301689939882217e-05,8.208333333333334,92.33769299659328,RBM28;LSG1;NOP58;NVL;BMS1;DROSHA;MDN1;NOL6,0.0024211432881809,0,0,1,pos,KEGG_2021_Human,0.31109592,0.31109592
2,RNA degradation,0.0001405956800042,8.357717836463776,74.12980053694949,HSPA9;EXOSC6;EXOSC9;DIS3L;EXOSC2;CNOT9,0.0130753982403933,0,0,1,pos,KEGG_2021_Human,0.31109592,0.31109592
3,Phosphatidylinositol signaling system,0.002914283262067,5.492753623188406,32.067417227721045,INPP5B;DGKE;PPIP5K1;INPP5F;INPP5E,0.1806855622481544,0,0,1,pos,KEGG_2021_Human,0.31109592,0.31109592
1,Unfolded Protein Response,0.0001421318188859,6.738586372079382,59.69548995485963,HSPA9;NOP14;NPM1;EXOSC9;DDX10;NOLC1;EXOSC2,0.0030402669162474,0,0,1,pos,MSigDB_Hallmark_2020,0.31109592,0.31109592
2,E2F Targets,0.0001900166822654,4.837614100490667,41.45060631295679,PRPS1;NUP205;ILF3;DNMT1;RFC1;NOLC1;NAP1L1;RBBP7;CNOT9,0.0030402669162474,0,0,1,pos,MSigDB_Hallmark_2020,0.31109592,0.31109592
3,Myc Targets V1,0.0009340556104345,4.255208333333333,29.684225172013964,NPM1;SET;SERBP1;NOLC1;HNRNPR;NAP1L1;BUB3;SRSF7,0.0099632598446356,0,0,1,pos,MSigDB_Hallmark_2020,0.31109592,0.31109592
1,Cytoplasmic Vesicle Lumen (GO:0060205),9.295040704318789e-12,14.680400298094323,372.90477708513663,CDA;SERPINB1;GMFG;PYGL;FGR;HK3;IMPDH1;ALOX5;S100A12;S100P;GYG1;S100A9;S100A8;S100A11,1.3570759428305431e-09,0,0,1,neg,GO_Cellular_Component_2023,0.31109592,0.31109592
2,Ficolin-1-Rich Granule (GO:0101002),5.036325090078231e-09,8.691334598355471,166.0617595064423,CDA;SERPINA1;FCER1G;GMFG;SLC11A1;FPR1;PYGL;HK3;CLEC4D;DOK3;LRG1;IMPDH1;ALOX5;GYG1,3.676517315757109e-07,0,0,1,neg,GO_Cellular_Component_2023,0.31109592,0.31109592
3,Cytoplasmic Vesicle Membrane (GO:0030659),1.4302270108448816e-08,5.512468269374347,99.57087404799351,CD63;CD163;ATP6V0E1;CSF3R;SORT1;NCF4;RHOG;FPR1;DYSF;LY96;LILRB3;SIRPB1;SNX3;TYROBP;DOK3;CXCR1;SELL;ATP6V0D1;TLR4,6.96043811944509e-07,0,0,1,neg,GO_Cellular_Component_2023,0.31109592,0.31109592
1,Pentose Phosphate Metabolism WP134,3.3473033797170354e-05,75.36548223350253,776.6239908457204,TALDO1;TKT;PGD,0.0061687294276985,0,0,1,neg,WikiPathway_2023_Human,0.31109592,0.31109592
2,Microglia Pathogen Phagocytosis Pathway WP3937,4.7089537616019095e-05,14.47985347985348,144.26943679538044,HCK;FCER1G;TYROBP;NCF2;NCF4,0.0061687294276985,0,0,1,neg,WikiPathway_2023_Human,0.31109592,0.31109592
3,Host Pathogen Interaction Of Human Coronaviruses MAPK Signaling WP4877,0.0004448946011773,12.607142857142858,97.2978079915696,MAP2K3;IFITM2;RPS6KA1;MAP2K6,0.0388541285028187,0,0,1,neg,WikiPathway_2023_Human,0.31109592,0.31109592
1,SPI1 human,1.071678057329703e-08,17.55635681122197,322.18469279379707,HCK;NSFL1C;CD163;CSF3R;CXCR1;NCF2;FES;TLR4;CSF2RA,1.2109962047825643e-06,0,0,1,neg,TRRUST_Transcription_Factors_2019,0.31109592,0.31109592
2,CEBPA human,1.1486707663805796e-05,13.577319587628866,154.4327783623843,HK3;CD163;CSF3R;SPI1;S100A9;CSF2RA,0.000648998983005,0,0,1,neg,TRRUST_Transcription_Factors_2019,0.31109592,0.31109592
3,GATA1 mouse,0.0006040394207294,21.5221174764322,159.51916044937724,NFE2;SPI1;FCER1G,0.018900987929524,0,0,1,neg,TRRUST_Transcription_Factors_2019,0.31109592,0.31109592
1,Regulation Of Phagocytosis (GO:0050764),1.7578280941922455e-06,14.044803413593415,186.1137510453516,FGR;SNX3;HCK;FCER1G;SLC11A1;DYSF;SIRPB1,0.0021232494022386,0,0,1,neg,GO_Biological_Process_2023,0.31109592,0.31109592
2,Neutrophil Activation Involved In Immune Response (GO:0002283),3.031048397200008e-06,57.70553935860058,733.2413213987782,FCER1G;TYROBP;STXBP2;LILRA2,0.0021232494022386,0,0,1,neg,GO_Biological_Process_2023,0.31109592,0.31109592
