pc,var_explained_pct,cum_var_pct,pos_term,pos_library,pos_adj_p,neg_term,neg_library,neg_adj_p,best_continuous_var,best_continuous_rho,best_categorical_var,best_categorical_eta2
77,0.05435905,90.371716,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,0.0364281688069491,Interferon Alpha Response,MSigDB_Hallmark_2020,1.355558637105695e-07,SMRIN,0.0791611947295533,SMNABTCH,0.1843143576598739
78,0.053510244,90.42523,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,0.0026602335517164,Response To Estrogen (GO:0043627),GO_Biological_Process_2023,0.0314839961130904,SMRDLGTH,0.0532987040144927,SMNABTCH,0.192152712825794
79,0.05298619,90.47822,"Respiratory Electron Transport, ATP Synthesis By Chemiosmotic Coupling, Heat Production By Uncoupling Proteins R-HSA-163200",Reactome_2022,0.0009930534699494,Steroid biosynthesis,KEGG_2021_Human,5.918468460258774e-06,DTHHRDY,0.0818020663082454,SMNABTCH,0.3147221302038445
80,0.052466296,90.53067999999999,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,2.977789531303892e-05,Nectin/Necl Trans Heterodimerization R-HSA-420597,Reactome_2022,0.0161005292564389,AGE_mid,0.0440773459041376,SMNABTCH,0.2331336553067213
81,0.050776695999999996,90.58146,Estrogen Response Late,MSigDB_Hallmark_2020,0.0076006672906185,RELA human,TRRUST_Transcription_Factors_2019,0.0007538762236605,SMRDLGTH,0.0857944313630239,SMNABTCH,0.1653954077500059
82,0.0488075,90.63027,mTORC1 Signaling,MSigDB_Hallmark_2020,0.0013148360874761,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,0.0317578907547761,SMRDLGTH,0.070245878092438,SMNABTCH,0.1973904384360854
83,0.048700414000000004,90.67897,Signaling By FGFR1 R-HSA-5654736,Reactome_2022,0.0933798273845086,Interferon Gamma Response,MSigDB_Hallmark_2020,0.0002446268647617,DTHHRDY,0.0295669861168463,SMNABTCH,0.2077399621276457
84,0.04759823,90.72657,Phospholipase D signaling pathway,KEGG_2021_Human,0.0134243052877398,STAT6 mouse,TRRUST_Transcription_Factors_2019,0.0711596030543306,AGE_mid,0.0482122937478384,SMNABTCH,0.2176083083824447
85,0.04740853,90.77398,Herpes simplex virus 1 infection,KEGG_2021_Human,0.0247701696987463,heme Metabolism,MSigDB_Hallmark_2020,0.0364281688069491,DTHHRDY,0.0526296402847432,SMNABTCH,0.1944599311702717
86,0.046762064,90.82074,Myogenesis,MSigDB_Hallmark_2020,0.0392303356382529,TNF-alpha Signaling via NF-kB,MSigDB_Hallmark_2020,6.664776556723301e-08,SMRDLGTH,0.0355336756178016,SMNABTCH,0.1945712997652778
87,0.04643344,90.86717399999999,Epithelial Mesenchymal Transition,MSigDB_Hallmark_2020,0.0014878408358282,heme Metabolism,MSigDB_Hallmark_2020,0.0013494370371465,SMRDLGTH,0.0452090961786696,SMNABTCH,0.1387211332086593
88,0.045794665,90.91297,Cholesterol Homeostasis,MSigDB_Hallmark_2020,0.0003952965259027,Myogenesis,MSigDB_Hallmark_2020,0.0076006672906185,SMRIN,0.0439783809497798,SMNABTCH,0.1809053704117343
