rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Prolonged bleeding time (HP:0003010),0.0011471485105092553,16.736040609137056,113.31096080850561,GP9;GP1BA;RUNX1,0.2978844909276602,0,0,26,pos,Human_Phenotype_Ontology
2,Recurrent pneumonia (HP:0006532),0.0021616710096346928,13.094460384021188,80.35905008065508,IGHM;TNFRSF13B;BLNK,0.2978844909276602,0,0,26,pos,Human_Phenotype_Ontology
3,Recurrent lower respiratory tract infections (HP:0002783),0.006424287048407678,8.599709934735316,43.40849457481817,IGHM;TNFRSF13B;BLNK,0.2978844909276602,0,0,26,pos,Human_Phenotype_Ontology
