rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,heme Metabolism,0.015493990781832804,3.1256244021681368,13.025424015927582,PIGQ;BMP2K;ACP5;BLVRB;BTRC;FBXO9,0.3022876118901426,0,0,65,pos,MSigDB_Hallmark_2020
2,Interferon Alpha Response,0.01633987091298068,4.324555628703094,17.79185795383184,SAMD9L;IFI27;IFI44L;LY6E,0.3022876118901426,0,0,65,pos,MSigDB_Hallmark_2020
3,Spermatogenesis,0.04677461066824685,3.064184452406917,9.383803603583353,POMC;IFT88;CLPB;SPATA6,0.3135379905676387,0,0,65,pos,MSigDB_Hallmark_2020
