rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,"WNT5A-dependent Internalization Of FZD2, FZD5 And ROR2 R-HSA-5140745",0.00015320271943439296,37.6751269035533,330.92884130781977,AP2S1;CLTB;AP2M1,0.08043142770305631,0,0,65,pos,Reactome_2022
2,WNT5A-dependent Internalization Of FZD4 R-HSA-5099900,0.00041017649693527065,25.111675126903553,195.84402098106767,CLTB;AP2S1;AP2M1,0.08769669390498495,0,0,65,pos,Reactome_2022
3,VLDLR Internalisation And Degradation R-HSA-8866427,0.0005011239651713426,23.178836392034363,176.1280286078286,AP2S1;NR1H3;AP2M1,0.08769669390498495,0,0,65,pos,Reactome_2022
