rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Retina Homeostasis (GO:0001895),4.153860365388976e-05,14.906485671191554,150.38985478925275,PIGR;ZG16B;LYZ;IGHA2;JCHAIN,0.043989381269469253,0,0,176,neg,GO_Biological_Process_2023
2,Muscle Contraction (GO:0006936),0.00036387447793238354,6.927835051546392,54.85945844239905,MYOF;SSPN;MYH11;CRYAB;MYLK;MYH7,0.19267153606519707,0,0,176,neg,GO_Biological_Process_2023
3,Skeletal Muscle Contraction (GO:0003009),0.0008481701801219675,18.82994923857868,133.17348392535672,TNNT1;TNNC2;MYH7,0.2994040735830545,0,0,176,neg,GO_Biological_Process_2023
