rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,KDM2B 26808549 Chip-Seq HPB-ALL Human,8.723184488868791e-19,4.835273906375783,201.06583504854405,SLC48A1;PRR7;ITPRIP;ADM;ACTB;BBC3;ACTG1;FCRLB;UBASH3B;MYC;C1QTNF6;NFKBIZ;PIM1;IER5;JUNB;CTSD;IER2;KLF10;MAP2K3;SREBF1;APLP2;IGFBP2;CACYBP;SLC30A1;GPCPD1;RAB33A;TPST2;RAP2B;MTF1;MAL;TRIB3;FKBP4;ZP3;CD44;HDAC4;ISYNA1;SEMA7A;ANP32A;LEF1;PLD6;NRF1;LTC4S;STIP1;BAG3;CCDC85B;RPL13;ACBD6;CDKN2C;POU2F1;HSPA6;HMGA1;IRF2BP2;FBXL14;KBTBD11;SKI;YRDC;BCL9;GNPDA1;OTUD1,6.385371045851955e-16,0,0,24,pos,ChEA_2022
2,KDM2B 26808549 Chip-Seq DND41 Human,2.0957970412864222e-13,3.8776316999172566,113.20230906449339,SCARB1;PRR7;GMEB2;ITPRIP;HSP90AB1;THRA;SLC2A1;ADM;BBC3;ACTG1;FCRLB;CNST;MYC;C1QTNF6;NFKBIZ;PIM1;FGFBP3;IER5;JUNB;CTSD;IER2;KLF10;MAP2K3;APLP2;CACYBP;FSCN1;MAL;FKBP4;ZP3;CD44;ISYNA1;ANP32A;LEF1;IER5L;NRF1;LTC4S;STIP1;INPP5A;BAG3;CCDC85B;ACBD6;CDKN2C;POU2F1;IRF2BP2;FBXL14;KBTBD11;EPOR;GATAD2A;SKI;RNF145;TFAP4,6.303077367390188e-11,0,0,24,pos,ChEA_2022
3,KDM2B 26808549 Chip-Seq SUP-B15 Human,2.5832284292582734e-13,3.854115153655952,111.70985605667796,PRR7;CSF1;SLC2A1;ADM;BBC3;ACTG1;CNST;UBASH3B;C1QTNF6;NFKBIZ;RPL36;KIF21B;FGFBP3;IER5;JUNB;IER2;KLF10;MAP2K3;EGFL7;HSP90AA1;APLP2;SLC30A1;FSCN1;LTA;TMEM9;SQSTM1;PDXK;SEMA7A;LEF1;IER5L;PLD6;NRF1;LTC4S;LRP6;STIP1;INPP5A;TBXA2R;CCDC85B;HMOX1;ACBD6;CDKN2C;HMGA1;IRF2BP2;KBTBD11;KLF2;SKI;TNRC6C;BCL9;TFAP4;TACC1;OTUD1,6.303077367390188e-11,0,0,24,pos,ChEA_2022
