rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Herpes simplex virus 1 infection,1.1471411205022751e-05,3.731104370448633,42.44374713238426,ZNF595;ZNF100;ZNF583;ZNF682;ZNF790;HLA-F;ZNF718;ZNF519;IRAK1;ZNF429;ZNF714;ZNF846;ZNF107;ZNF665;HLA-DQA2;ZNF333;NECTIN2,0.0018124829703935947,0,0,246,pos,KEGG_2021_Human
2,Cell adhesion molecules,0.003779223900928405,4.281544939741542,23.883470720146956,CNTNAP2;MADCAM1;PDCD1;HLA-F;HLA-DQA2;NECTIN2,0.298558688173344,0,0,246,pos,KEGG_2021_Human
3,Lysosome,0.00934449223956054,4.101938711694809,19.168229053648297,GALC;LAPTM4B;GM2A;SLC11A1;CLTB,0.44226539071154936,0,0,246,pos,KEGG_2021_Human
