rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Platelet Alpha Granule Membrane (GO:0031092),1.6073421914510297e-05,33.6530612244898,371.4740483715657,SELP;SPARC;ITGB3;LY6G6F,0.0019699182385187284,0,0,27,neg,GO_Cellular_Component_2023
2,Platelet Alpha Granule (GO:0031091),3.102233446486186e-05,8.721470997093391,90.53587356683565,SELP;SPARC;ITGB3;SERPINF2;F13A1;LY6G6F;PF4,0.0019699182385187284,0,0,27,neg,GO_Cellular_Component_2023
3,Platelet Alpha Granule Lumen (GO:0031093),0.004312783613971081,6.497037524687294,35.3839821166775,SPARC;SERPINF2;F13A1;PF4,0.1825745063247758,0,0,27,neg,GO_Cellular_Component_2023
