rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Regulation Of Dendritic Cell Differentiation (GO:2001198),1.9440565830475138e-06,67.3265306122449,885.3932781130271,LGALS1;LILRB1;LGALS9;FCGR2B,0.002774168744008802,0,0,117,pos,GO_Biological_Process_2023
2,Cellular Response To Zinc Ion (GO:0071294),1.2150001455530943e-05,36.714285714285715,415.53894085341443,MT1M;MT1F;MT1X;MT1E,0.008669026038521328,0,0,117,pos,GO_Biological_Process_2023
3,Cellular Response To Copper Ion (GO:0071280),4.146798801190002e-05,25.23469387755102,254.6329194525256,MT1M;MT1F;MT1X;MT1E,0.017968522882248636,0,0,117,pos,GO_Biological_Process_2023
