rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Macrocytic anemia (HP:0001972),3.19622618683464e-05,15.83974358974359,163.95646784574072,RPS17;RPS7;RPL35A;RPL26;RPS24,0.006712074992352744,0,0,4,pos,Human_Phenotype_Ontology
2,Pallor (HP:0000980),6.723327393029232e-05,13.334682860998651,128.110862510313,RPS17;RPS7;RPL35A;RPL26;RPS24,0.007059493762680694,0,0,4,pos,Human_Phenotype_Ontology
3,Abnormality of cells of the erythroid lineage (HP:0012130),0.00011224655254723089,43.059463379260336,391.61775629527256,RPS17;RPL35A;RPL26,0.007857258678306162,0,0,4,pos,Human_Phenotype_Ontology
