rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Emphysema (HP:0002097),1.105992394212401e-05,20.28205128205128,231.46246946256952,CR2;CD19;TNFRSF13C;GLA;MS4A1,0.0016402501964966772,0,0,22,pos,Human_Phenotype_Ontology
2,Gastrointestinal stroma tumor (HP:0100723),1.2150001455530943e-05,36.714285714285715,415.53894085341443,CR2;CD19;TNFRSF13C;MS4A1,0.0016402501964966772,0,0,22,pos,Human_Phenotype_Ontology
3,Abnormality of the heme biosynthetic pathway (HP:0010472),2.0854898756677612e-05,31.062794348508636,334.7923648041761,BCL11A;HMBS;GATA1;EPOR,0.001876940888100985,0,0,22,pos,Human_Phenotype_Ontology
