rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,STAT1 human,7.45798932164009e-10,15.727839385373631,330.5451600102444,SOCS3;CD40;PLSCR1;PRKCE;IL1B;STAT2;IRF7;IRF8;IFIT3;CD22;TNFSF13B,1.0590344836728928e-07,0,0,22,pos,TRRUST_Transcription_Factors_2019
2,PAX5 mouse,1.7696212764855076e-07,56.38461538461539,876.6302276842081,BLK;CD79A;CD72;CD19;EBF1,9.346837048334454e-06,0,0,22,pos,TRRUST_Transcription_Factors_2019
3,RFXANK human,2.632911844601255e-07,50.743589743589745,768.7656511195227,HLA-DMA;HLA-DMB;HLA-DRA;HLA-DOA;HLA-DOB,9.346837048334454e-06,0,0,22,pos,TRRUST_Transcription_Factors_2019
