rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,G2-M Checkpoint,1.4671284327189212e-08,7.93721817551162,143.16657037615133,RPA2;SMC1A;LMNB1;UCK2;POLA2;NASP;SNRPD1;EWSR1;DKC1;MYC;NCL;MCM3;NUP98;KPNB1,5.281662357788116e-07,0,0,16,neg,MSigDB_Hallmark_2020
2,E2F Targets,1.1646241483657272e-07,7.291286568103177,116.41047380303489,NOP56;PRPS1;PRKDC;RFC2;RPA2;CTPS1;SMC1A;LMNB1;PSMC3IP;POLA2;NASP;MYC;MCM3,1.3975489780388726e-06,0,0,16,neg,MSigDB_Hallmark_2020
3,Myc Targets V1,1.1646241483657272e-07,7.291286568103177,116.41047380303489,NOP56;NOP16;CTPS1;GNL3;EEF1B2;RSL1D1;SNRPD1;MYC;CLNS1A;APEX1;CDK2;PPIA;KPNB1,1.3975489780388726e-06,0,0,16,neg,MSigDB_Hallmark_2020
