rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Phase II - Conjugation Of Compounds R-HSA-156580,0.004438096046765698,4.951734539969834,26.82616949537231,GSTM4;GSTM3;TPMT;CHAC2;PAPSS1,0.7227656361217982,0,0,196,pos,Reactome_2022
2,Glutathione Conjugation R-HSA-156590,0.005517288559721188,9.121827411167512,47.43230522818489,GSTM4;GSTM3;CHAC2,0.7227656361217982,0,0,196,pos,Reactome_2022
3,Biological Oxidations R-HSA-211859,0.02261382508957383,2.857615249951371,10.828058073935505,GSTM4;GSTM3;TPMT;CYP2S1;CHAC2;PAPSS1,0.7227656361217982,0,0,196,pos,Reactome_2022
