rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Interleukin-10 Signaling R-HSA-6783783,8.396387888701343e-05,12.666666666666666,118.87823562147146,CCL20;IL1B;IL18;CCL2;CXCL2,0.04089040901797554,0,0,43,pos,Reactome_2022
2,Cell Surface Interactions At Vascular Wall R-HSA-202733,0.00040511150010501577,5.618334625270287,43.88676817360983,CEACAM1;SLC7A8;CEACAM21;ITGA5;F11R;TNFRSF10D;JCHAIN,0.09864465027557134,0,0,43,pos,Reactome_2022
3,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,0.0007620450587322617,5.972710733778047,42.88110581119858,SEC61A1;RPL41;RPS15A;SSR2;RPL22L1;RPS4Y1,0.10936642502627011,0,0,43,pos,Reactome_2022
