rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,PPARD human,0.004247232134539841,24.98989898989899,136.4820277236255,CAT;ANG,0.2791634646504182,0,0,130,neg,TRRUST_Transcription_Factors_2019
2,RXRA mouse,0.009590008493683598,15.374514374514375,71.44588341233826,SREBF1;MPO,0.2791634646504182,0,0,130,neg,TRRUST_Transcription_Factors_2019
3,PPARA mouse,0.010906030338555561,6.996930704757408,31.61520738006147,FABP1;SERPINE2;MPO,0.2791634646504182,0,0,130,neg,TRRUST_Transcription_Factors_2019
