rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,SRF mouse,0.015214448401771344,11.754604872251932,49.19901329869125,ACTA2;MYH11,0.3409870935377931,0,0,248,neg,TRRUST_Transcription_Factors_2019
2,USF1 human,0.02735381415733541,4.848043229081382,17.447619395780233,LIPC;SCN9A;HOXB4,0.3409870935377931,0,0,248,neg,TRRUST_Transcription_Factors_2019
3,ATF4 human,0.04771715203605925,6.05050505050505,18.408446001894514,CEBPB;TRIB3,0.3409870935377931,0,0,248,neg,TRRUST_Transcription_Factors_2019
