rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,IL-2/STAT5 Signaling,0.04996024744407145,2.591329632566746,7.7649908706521895,IFITM3;SCN9A;DCPS;IKZF4;COCH,0.6609719801155627,0,0,248,neg,MSigDB_Hallmark_2020
2,TNF-alpha Signaling via NF-kB,0.0508439984704279,2.5779092702169626,7.679574154313181,SOCS3;SPSB1;CEBPB;TNIP1;ZC3H12A,0.6609719801155627,0,0,248,neg,MSigDB_Hallmark_2020
3,Xenobiotic Metabolism,0.0508439984704279,2.5779092702169626,7.679574154313181,CYFIP2;GSTM4;TMEM176B;GCNT2;LPIN2,0.6609719801155627,0,0,248,neg,MSigDB_Hallmark_2020
