rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Neutrophil Degranulation R-HSA-6798695,2.600788249014985e-07,4.524098979930847,68.59566036374468,HGSNAT;DBNL;SURF4;RETN;AMPD3;CKAP4;PLAC8;CEACAM1;PSMD7;CYB5R3;CLEC5A;LCN2;NCKAP1L;QSOX1;AGA;CD44;LAIR1;AP1M1;DNASE1L1,0.00016931131501087552,0,0,7,neg,Reactome_2022
2,Signaling By Rho GTPases R-HSA-194315,8.733497252111818e-05,3.0292806235298246,28.31092838884334,MTMR1;PLEKHG1;TPM4;TPM3;SRF;PPP2R5C;CKAP4;ACTG1;ARHGAP4;CDC37;NCKAP1L;RHOU;PFN1;CALM1;MAPRE1;SCAI;VAMP3;ARHGEF6,0.025779992737540457,0,0,7,neg,Reactome_2022
3,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",0.00011880180985041686,2.9513197083290543,26.67418664935827,MTMR1;PLEKHG1;TPM4;TPM3;SRF;PPP2R5C;CKAP4;ACTG1;ARHGAP4;CDC37;NCKAP1L;RHOU;PFN1;CALM1;MAPRE1;SCAI;VAMP3;ARHGEF6,0.025779992737540457,0,0,7,neg,Reactome_2022
