rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Mitotic Sister Chromatid Segregation (GO:0000070),4.7951759138787416e-27,32.74750830564784,1984.5706259293786,CDCA5;CDCA8;NCAPG;KIF11;NCAPH;CCNB1;DSN1;NUSAP1;DLGAP5;CLASP1;SPAG5;PLK1;KIF23;TUBG1;KNSTRN;NDC80;ZWINT;SGO1;TPX2;CENPE;KIF18A;KIFC1;PRC1;KIF2C;NCAPD2,5.245922449783343e-24,0,0,8,neg,GO_Biological_Process_2023
2,Mitotic Spindle Organization (GO:0007052),1.001920659467903e-20,31.386740331491712,1445.3525826771395,GPSM2;PLK1;CDCA8;KIF23;KIF11;TUBG1;AURKB;NDC80;AURKA;CENPE;TPX2;CCNB1;KIFC1;PRC1;NUF2;BIRC5;DLGAP5;CLASP1;SPC25,5.4805060072894295e-18,0,0,8,neg,GO_Biological_Process_2023
3,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),4.0955958139303944e-19,39.95348837209303,1691.5989171618562,GPSM2;PLK1;CDCA8;KIF11;TUBG1;AURKB;NDC80;CENPE;CCNB1;NUF2;NUSAP1;CDK1;BIRC5;DLGAP5;CLASP1;SPC25,1.4935272734799506e-16,0,0,8,neg,GO_Biological_Process_2023
