rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p,pc,direction,library
1,Hepatitis C,6.318006313021981e-10,10.34656741108354,219.16561817983236,STAT1;STAT2;MX1;EIF2AK2;NR1H3;IFIT1;SOCS3;CXCL10;OAS1;OAS2;OAS3;IRF7;BAK1;IRF9,1.0866970858397808e-07,0,0,17,neg,KEGG_2021_Human
2,Influenza A,1.9580281471790848e-08,8.587529008172737,152.41784386375846,STAT1;STAT2;MX1;EIF2AK2;ADAR;SOCS3;CXCL10;OAS1;OAS2;OAS3;IRF7;BAK1;IRF9,1.683904206574013e-06,0,0,17,neg,KEGG_2021_Human
3,Epstein-Barr virus infection,1.307797664278816e-07,7.213394448688566,114.33050660366048,STAT1;STAT2;TAP2;TAP1;EIF2AK2;ISG15;CXCL10;OAS1;OAS2;OAS3;IRF7;BAK1;IRF9,6.688990874861832e-06,0,0,17,neg,KEGG_2021_Human
